slot_reported,slot_reported_abs_log1p,slot_reported_is_even,slot_reported_mod3,slot_reported_mod5,slot_reported_mod7,slot_reported_mod10,slot_percent,slot_percent_abs_log1p,slot_percent_is_even,slot_percent_mod3,slot_percent_mod5,slot_percent_mod7,slot_percent_mod10,slot_name_overstater,slot_name_corrector,slot_event,gcd_all,n_multiple_pairs,y
162,5.093750200806762,1,0,2,1,2,35,3.58351893845611,0,2,0,0,5,2,7,0,1,0,120.0
3151,8.05579245097777,0,1,1,1,1,37,3.6375861597263857,0,1,2,2,7,2,7,3,1,0,2300.0
196,5.2832037287379885,1,1,1,0,6,40,3.713572066704308,1,1,0,5,0,6,4,7,4,0,140.0
973,6.881411303642535,0,1,3,0,3,39,3.6888794541139363,0,0,4,4,9,5,6,6,1,0,700.0
1512,7.321849713788356,1,0,2,0,2,26,3.295836866004329,1,2,1,5,6,0,4,9,2,0,1200.0
42,3.7612001156935624,1,0,2,0,2,5,1.791759469228055,0,2,0,5,5,5,3,3,1,0,40.0
35,3.58351893845611,0,2,0,0,5,25,3.258096538021482,0,1,0,4,5,2,6,3,5,0,28.0
1653,7.4109518755836366,0,0,3,1,3,14,2.70805020110221,1,2,4,0,4,3,1,4,1,0,1450.0
189,5.247024072160486,0,0,4,0,9,40,3.713572066704308,1,1,0,5,0,1,4,4,1,0,135.0
96,4.574710978503383,1,0,1,5,6,60,4.110873864173311,1,0,0,4,0,5,6,9,12,0,60.0
3990,8.291797105048733,1,0,0,0,0,33,3.5263605246161616,0,0,3,5,3,0,7,2,3,0,3000.0
3690,8.213652703029998,1,0,0,1,0,23,3.1780538303479458,0,2,3,2,3,6,5,0,1,0,3000.0
3672,8.208764045819667,1,0,2,4,2,53,3.9889840465642745,0,2,3,4,3,6,0,1,1,0,2400.0
725,6.587550014824796,0,2,0,4,5,16,2.833213344056216,1,1,1,2,6,6,1,2,1,0,625.0
504,6.22455842927536,1,0,4,0,4,12,2.5649493574615367,1,0,2,5,2,2,3,3,12,1,450.0
2286,7.734996194022781,1,0,1,4,6,27,3.332204510175204,0,0,2,6,7,2,4,7,9,0,1800.0
384,5.953243334287785,1,0,4,6,4,28,3.367295829986474,1,1,3,0,8,6,5,2,4,0,300.0
1139,7.038783541388542,0,2,4,5,9,34,3.5553480614894135,1,1,4,6,4,1,7,1,17,0,850.0
836,6.729824070489475,1,2,1,3,6,52,3.970291913552122,1,1,2,3,2,6,4,4,4,0,550.0
912,6.816735880594968,1,0,2,2,2,14,2.70805020110221,1,2,4,0,4,0,2,9,2,0,800.0
558,6.326149473155099,1,0,3,5,8,24,3.2188758248682006,1,0,4,3,4,6,4,2,6,0,450.0
894,6.796823718274855,1,0,4,5,4,49,3.912023005428146,0,1,4,0,9,2,3,6,1,0,600.0
238,5.476463551931511,1,1,3,0,8,19,2.995732273553991,0,1,4,5,9,6,3,2,1,0,200.0
553,6.317164686747284,0,1,3,0,3,58,4.07753744390572,1,1,3,2,8,0,2,3,1,0,350.0
2829,7.948031990637284,0,0,4,1,9,23,3.1780538303479458,0,2,3,2,3,5,4,7,23,1,2300.0
608,6.411818267709897,1,2,3,6,8,52,3.970291913552122,1,1,2,3,2,5,1,5,4,0,400.0
1343,7.203405521083095,0,2,3,6,3,58,4.07753744390572,1,1,3,2,8,6,0,0,1,0,850.0
2059,7.630461261783627,0,1,4,1,9,42,3.7612001156935624,1,0,2,0,2,5,2,3,1,0,1450.0
279,5.634789603169249,0,0,4,6,9,55,4.02535169073515,0,1,0,6,5,4,7,4,1,0,180.0
1998,7.6004023345004,1,0,3,3,8,11,2.4849066497880004,0,2,1,4,1,3,7,2,1,0,1800.0
462,6.137727054086234,1,0,2,0,2,32,3.4965075614664802,1,2,2,4,2,2,4,1,2,0,350.0
1070,6.976348070447749,1,2,0,6,0,7,2.0794415416798357,0,1,2,0,7,5,4,4,1,0,1000.0
252,5.53338948872752,1,0,2,0,2,26,3.295836866004329,1,2,1,5,6,1,2,7,2,0,200.0
2340,7.75833346749091,1,0,0,2,0,17,2.8903717578961645,0,2,2,3,7,4,6,6,1,0,2000.0
324,5.783825182329737,1,0,4,2,4,8,2.1972245773362196,1,2,3,1,8,1,7,4,4,0,300.0
2997,8.005700678662542,0,0,2,1,7,11,2.4849066497880004,0,2,1,4,1,6,5,2,1,0,2700.0
854,6.75110146893676,1,2,4,0,4,22,3.1354942159291497,1,1,2,1,2,5,1,2,2,0,700.0
580,6.364750756851911,1,1,0,6,0,45,3.828641396489095,0,0,0,3,5,1,5,4,5,0,400.0
1908,7.554334823725748,1,0,3,4,8,59,4.0943445622221,0,2,4,3,9,0,5,0,1,0,1200.0
483,6.182084906716632,0,0,3,0,3,15,2.772588722239781,0,0,0,1,5,5,1,0,3,0,420.0
106,4.672828834461906,1,1,1,1,6,6,1.9459101490553132,1,0,1,6,6,1,6,6,2,0,100.0
3892,8.266935347610456,1,1,2,0,2,39,3.6888794541139363,0,0,4,4,9,7,0,8,1,0,2800.0
2860,7.95892649305011,1,1,0,4,0,43,3.784189633918261,0,1,3,1,3,6,5,1,1,0,2000.0
319,5.768320995793772,0,1,4,4,9,10,2.3978952727983707,1,1,0,3,0,0,7,4,1,0,290.0
460,6.133398042996649,1,1,0,5,0,15,2.772588722239781,0,0,0,1,5,2,7,0,5,0,400.0
1029,6.937314081223682,0,0,4,0,9,47,3.871201010907891,0,2,2,5,7,7,4,8,1,0,700.0
203,5.318119993844216,0,2,3,0,3,40,3.713572066704308,1,1,0,5,0,5,4,6,1,0,145.0
1548,7.3453648404168685,1,0,3,1,8,29,3.4011973816621555,0,2,4,1,9,4,6,9,1,0,1200.0
3213,8.075271546297458,0,0,3,0,3,53,3.9889840465642745,0,2,3,4,3,4,3,9,1,0,2100.0
2599,7.8632667240095735,0,1,4,2,9,13,2.6390573296152584,0,1,3,6,3,7,3,9,1,0,2300.0
162,5.093750200806762,1,0,2,1,2,35,3.58351893845611,0,2,0,0,5,4,7,8,1,0,120.0
4077,8.3133619511344,0,0,2,3,7,51,3.9512437185814275,0,0,1,2,1,7,1,3,3,0,2700.0
654,6.484635235635252,1,0,4,3,4,9,2.302585092994046,0,0,4,2,9,1,1,8,3,0,600.0
176,5.176149732573829,1,2,1,1,6,10,2.3978952727983707,1,1,0,3,0,5,3,8,2,0,160.0
390,5.968707559985366,1,0,0,5,0,56,4.04305126783455,1,2,1,0,6,5,0,0,2,0,250.0
1572,7.360739903058278,1,0,2,4,2,31,3.4657359027997265,0,1,1,3,1,7,2,9,1,0,1200.0
115,4.7535901911063645,0,1,0,3,5,15,2.772588722239781,0,0,0,1,5,7,6,4,5,0,100.0
4110,8.321421586897879,1,0,0,1,0,37,3.6375861597263857,0,1,2,2,7,5,4,7,1,0,3000.0
143,4.969813299576001,0,2,3,3,3,30,3.4339872044851463,1,0,0,2,0,6,0,9,1,0,110.0
1064,6.970730078143525,1,2,4,0,4,33,3.5263605246161616,0,0,3,5,3,0,4,2,1,0,800.0
2010,7.606387389772652,1,0,0,1,0,34,3.5553480614894135,1,1,4,6,4,4,6,0,2,0,1500.0
765,6.641182169740591,0,0,0,2,5,53,3.9889840465642745,0,2,3,4,3,4,7,8,1,0,500.0
2224,7.707512194600341,1,1,4,5,4,39,3.6888794541139363,0,0,4,4,9,0,5,1,1,0,1600.0
819,6.709304340258298,0,0,4,0,9,26,3.295836866004329,1,2,1,5,6,4,6,4,13,0,650.0
2740,7.916078096302786,1,1,0,3,0,37,3.6375861597263857,0,1,2,2,7,3,3,6,1,0,2000.0
242,5.493061443340548,1,2,2,4,2,10,2.3978952727983707,1,1,0,3,0,1,7,1,2,0,220.0
336,5.820082930352362,1,0,1,0,6,12,2.5649493574615367,1,0,2,5,2,6,7,5,12,1,300.0
540,6.293419278846481,1,0,0,1,0,44,3.8066624897703196,1,2,4,2,4,4,6,1,4,0,375.0
3146,8.054204897064407,1,2,1,3,6,43,3.784189633918261,0,1,3,1,3,2,6,1,1,0,2200.0
855,6.752270376141742,0,0,0,1,5,14,2.70805020110221,1,2,4,0,4,0,4,0,1,0,750.0
793,6.677083461247136,0,1,3,2,3,22,3.1354942159291497,1,1,2,1,2,0,3,3,1,0,650.0
216,5.37989735354046,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,7,7,5,8,1,200.0
3129,8.048788283534199,0,0,4,0,9,49,3.912023005428146,0,1,4,0,9,6,0,2,7,0,2100.0
1441,7.273786317844895,0,1,1,6,1,31,3.4657359027997265,0,1,1,3,1,6,0,5,1,0,1100.0
64,4.174387269895637,1,1,4,1,4,28,3.367295829986474,1,1,3,0,8,4,2,0,4,0,50.0
1833,7.51425465281641,0,0,3,6,3,41,3.7376696182833684,0,2,1,6,1,0,0,7,1,0,1300.0
1064,6.970730078143525,1,2,4,0,4,33,3.5263605246161616,0,0,3,5,3,7,2,3,1,0,800.0
584,6.371611847231857,1,2,4,3,4,46,3.8501476017100584,1,1,1,4,6,5,1,0,2,0,400.0
780,6.660575149839686,1,0,0,3,0,56,4.04305126783455,1,2,1,0,6,4,6,7,4,0,500.0
2583,7.857093864902493,0,0,3,0,3,23,3.1780538303479458,0,2,3,2,3,2,5,1,1,0,2100.0
945,6.852242569051878,0,0,0,0,5,26,3.295836866004329,1,2,1,5,6,3,4,7,1,0,750.0
2783,7.931644021454311,0,2,3,4,3,21,3.091042453358316,0,0,1,0,1,3,3,0,1,0,2300.0
1001,6.90975328164481,0,2,1,0,1,54,4.007333185232471,1,0,4,5,4,3,5,2,1,0,650.0
2940,7.9865049385539955,1,0,0,0,0,47,3.871201010907891,0,2,2,5,7,6,6,1,1,0,2000.0
259,5.560681631015528,0,1,4,0,9,48,3.8918202981106265,1,0,3,6,8,4,3,3,1,0,175.0
1727,7.454719949364001,0,2,2,5,7,57,4.060443010546419,0,0,2,1,7,3,5,6,1,0,1100.0
207,5.337538079701318,0,0,2,4,7,38,3.6635616461296463,1,2,3,3,8,5,4,9,1,0,150.0
999,6.907755278982137,0,0,4,5,9,11,2.4849066497880004,0,2,1,4,1,6,2,8,1,0,900.0
212,5.3612921657094255,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,4,2,5,2,0,200.0
1512,7.321849713788356,1,0,2,0,2,26,3.295836866004329,1,2,1,5,6,6,7,8,2,0,1200.0
20,3.044522437723423,1,2,0,6,0,25,3.258096538021482,0,1,0,4,5,0,1,5,5,0,16.0
1876,7.537430036586509,1,1,1,0,6,34,3.5553480614894135,1,1,4,6,4,3,3,3,2,0,1400.0
1281,7.156176637480615,0,0,1,0,1,22,3.1354942159291497,1,1,2,1,2,2,3,1,1,0,1050.0
1712,7.44600149832412,1,2,2,4,2,7,2.0794415416798357,0,1,2,0,7,6,6,8,1,0,1600.0
1210,7.099201743553092,1,1,0,6,0,21,3.091042453358316,0,0,1,0,1,7,5,8,1,0,1000.0
2961,7.993619994827744,0,0,1,0,1,41,3.7376696182833684,0,2,1,6,1,1,5,7,1,0,2100.0
2023,7.6128310304073565,0,1,3,0,3,19,2.995732273553991,0,1,4,5,9,6,0,3,1,0,1700.0
243,5.497168225293202,0,0,3,5,3,8,2.1972245773362196,1,2,3,1,8,7,6,4,1,0,225.0
63,4.1588830833596715,0,0,3,0,3,40,3.713572066704308,1,1,0,5,0,6,5,9,1,0,45.0
2358,7.765993079407675,1,0,3,6,8,31,3.4657359027997265,0,1,1,3,1,7,0,8,1,0,1800.0
413,6.025865973825314,0,2,3,0,3,18,2.9444389791664403,1,0,3,4,8,5,1,6,1,0,350.0
1140,7.039660349862076,1,0,0,6,0,14,2.70805020110221,1,2,4,0,4,6,0,9,2,0,1000.0
492,6.20050917404269,1,0,2,2,2,23,3.1780538303479458,0,2,3,2,3,5,3,8,1,0,400.0
1644,7.405495663199472,1,0,4,6,4,37,3.6375861597263857,0,1,2,2,7,6,5,0,1,0,1200.0
3857,8.257904193465674,0,2,2,0,7,33,3.5263605246161616,0,0,3,5,3,0,0,0,1,0,2900.0
232,5.4510384535657,1,1,2,1,2,16,2.833213344056216,1,1,1,2,6,3,5,1,8,0,200.0
4230,8.350193650720067,1,0,0,2,0,41,3.7376696182833684,0,2,1,6,1,2,5,8,1,0,3000.0
963,6.871091294610546,0,0,3,4,3,7,2.0794415416798357,0,1,2,0,7,4,4,9,1,0,900.0
465,6.144185634125646,0,0,0,3,5,55,4.02535169073515,0,1,0,6,5,7,4,7,5,0,300.0
532,6.278521424165844,1,1,2,0,2,12,2.5649493574615367,1,0,2,5,2,7,2,2,4,0,475.0
3330,8.11102783819368,1,0,0,5,0,11,2.4849066497880004,0,2,1,4,1,5,2,6,1,0,3000.0
1449,7.27931883541462,0,0,4,0,9,38,3.6635616461296463,1,2,3,3,8,3,4,0,1,0,1050.0
2718,7.908019444632471,1,0,3,2,8,51,3.9512437185814275,0,0,1,2,1,2,2,9,3,0,1800.0
2384,7.776954403322442,1,2,4,4,4,49,3.912023005428146,0,1,4,0,9,1,2,7,1,0,1600.0
2265,7.725771441587952,0,0,0,4,5,51,3.9512437185814275,0,0,1,2,1,6,4,4,3,0,1500.0
756,6.6293632534374485,1,0,1,0,6,12,2.5649493574615367,1,0,2,5,2,4,3,4,12,1,675.0
42,3.7612001156935624,1,0,2,0,2,20,3.044522437723423,1,2,0,6,0,1,0,4,2,0,35.0
3427,8.13973227971767,0,1,2,4,7,49,3.912023005428146,0,1,4,0,9,3,6,7,1,0,2300.0
1043,6.950814768442584,0,2,3,0,3,49,3.912023005428146,0,1,4,0,9,7,0,0,7,0,700.0
3277,8.094988759303774,0,1,2,1,7,13,2.6390573296152584,0,1,3,6,3,4,2,1,1,0,2900.0
165,5.111987788356544,0,0,0,4,5,32,3.4965075614664802,1,2,2,4,2,7,2,3,1,0,125.0
2034,7.618251097876695,1,0,4,4,4,13,2.6390573296152584,0,1,3,6,3,6,6,9,1,0,1800.0
567,6.342121418721152,0,0,2,0,7,5,1.791759469228055,0,2,0,5,5,0,3,2,1,0,540.0
1918,7.5595594960077,1,1,3,0,8,37,3.6375861597263857,0,1,2,2,7,3,0,2,1,0,1400.0
1533,7.335633981927201,0,0,3,0,3,46,3.8501476017100584,1,1,1,4,6,7,4,7,1,0,1050.0
1876,7.537430036586509,1,1,1,0,6,34,3.5553480614894135,1,1,4,6,4,3,2,2,2,0,1400.0
182,5.209486152841421,1,2,2,0,2,30,3.4339872044851463,1,0,0,2,0,2,5,2,2,0,140.0
3213,8.075271546297458,0,0,3,0,3,19,2.995732273553991,0,1,4,5,9,5,1,0,1,0,2700.0
351,5.863631175598097,0,0,1,1,1,8,2.1972245773362196,1,2,3,1,8,3,0,9,1,0,325.0
411,6.021023349349527,0,0,1,5,1,37,3.6375861597263857,0,1,2,2,7,0,3,5,1,0,300.0
266,5.58724865840025,1,2,1,0,6,52,3.970291913552122,1,1,2,3,2,1,0,6,2,0,175.0
551,6.313548046277095,0,2,1,5,1,16,2.833213344056216,1,1,1,2,6,3,7,9,1,0,475.0
906,6.810142450115136,1,0,1,3,6,51,3.9512437185814275,0,0,1,2,1,1,0,3,3,0,600.0
156,5.056245805348308,1,0,1,2,6,20,3.044522437723423,1,2,0,6,0,5,2,1,4,0,130.0
2286,7.734996194022781,1,0,1,4,6,27,3.332204510175204,0,0,2,6,7,3,2,2,9,0,1800.0
852,6.748759547491679,1,0,2,5,2,42,3.7612001156935624,1,0,2,0,2,4,6,1,6,0,600.0
224,5.41610040220442,1,2,4,0,4,60,4.110873864173311,1,0,0,4,0,7,5,8,4,0,140.0
48,3.8918202981106265,1,0,3,6,8,20,3.044522437723423,1,2,0,6,0,6,0,2,4,0,40.0
2838,7.951207156472972,1,0,3,3,8,29,3.4011973816621555,0,2,4,1,9,4,3,2,1,0,2200.0
365,5.902633333401366,0,2,0,1,5,46,3.8501476017100584,1,1,1,4,6,6,6,5,1,0,250.0
2826,7.946971357693591,1,0,1,5,6,57,4.060443010546419,0,0,2,1,7,3,6,7,3,0,1800.0
605,6.406879986069314,0,2,0,3,5,21,3.091042453358316,0,0,1,0,1,2,1,3,1,0,500.0
749,6.620073206530356,0,2,4,0,9,7,2.0794415416798357,0,1,2,0,7,7,3,7,7,1,700.0
2461,7.808729306744399,0,1,1,4,1,7,2.0794415416798357,0,1,2,0,7,0,6,0,1,0,2300.0
1638,7.40184157874383,1,0,3,0,8,26,3.295836866004329,1,2,1,5,6,4,5,1,26,1,1300.0
90,4.51085950651685,1,0,0,6,0,25,3.258096538021482,0,1,0,4,5,0,0,5,5,0,72.0
1014,6.922643891475888,1,0,4,6,4,56,4.04305126783455,1,2,1,0,6,5,0,2,2,0,650.0
1378,7.229113877793302,1,1,3,6,8,6,1.9459101490553132,1,0,1,6,6,0,2,1,2,0,1300.0
168,5.1298987149230735,1,0,3,0,8,40,3.713572066704308,1,1,0,5,0,0,4,9,8,0,120.0
234,5.459585514144159,1,0,4,3,4,17,2.8903717578961645,0,2,2,3,7,2,3,0,1,0,200.0
432,6.07073772800249,1,0,2,5,2,35,3.58351893845611,0,2,0,0,5,4,2,5,1,0,320.0
78,4.3694478524670215,1,0,3,1,8,20,3.044522437723423,1,2,0,6,0,0,3,8,2,0,65.0
819,6.709304340258298,0,0,4,0,9,26,3.295836866004329,1,2,1,5,6,4,6,9,13,0,650.0
702,6.555356891810665,1,0,2,2,2,35,3.58351893845611,0,2,0,0,5,0,1,1,1,0,520.0
76,4.343805421853684,1,1,1,6,6,52,3.970291913552122,1,1,2,3,2,6,5,1,4,0,50.0
189,5.247024072160486,0,0,4,0,9,8,2.1972245773362196,1,2,3,1,8,0,4,7,1,0,175.0
504,6.22455842927536,1,0,4,0,4,5,1.791759469228055,0,2,0,5,5,5,5,5,1,0,480.0
4131,8.326516830239528,0,0,1,1,1,53,3.9889840465642745,0,2,3,4,3,2,0,5,1,0,2700.0
1251,7.132497551660044,0,0,1,5,1,39,3.6888794541139363,0,0,4,4,9,2,6,5,3,0,900.0
1512,7.321849713788356,1,0,2,0,2,26,3.295836866004329,1,2,1,5,6,7,7,1,2,0,1200.0
828,6.720220155135295,1,0,3,2,8,44,3.8066624897703196,1,2,4,2,4,4,6,0,4,0,575.0
1386,7.234898420314831,1,0,1,0,6,26,3.295836866004329,1,2,1,5,6,7,0,5,2,0,1100.0
36,3.6109179126442243,1,0,1,1,6,20,3.044522437723423,1,2,0,6,0,5,7,1,4,0,30.0
1989,7.595889917718538,0,0,4,1,9,17,2.8903717578961645,0,2,2,3,7,4,2,2,17,1,1700.0
16,2.833213344056216,1,1,1,2,6,60,4.110873864173311,1,0,0,4,0,5,7,9,4,0,10.0
125,4.836281906951478,0,2,0,6,5,25,3.258096538021482,0,1,0,4,5,5,7,3,25,1,100.0
174,5.1647859739235145,1,0,4,6,4,16,2.833213344056216,1,1,1,2,6,5,7,2,2,0,150.0
1812,7.502738210754851,1,0,2,6,2,51,3.9512437185814275,0,0,1,2,1,3,0,0,3,0,1200.0
2413,7.789040401657477,0,1,3,5,3,27,3.332204510175204,0,0,2,6,7,3,6,7,1,0,1900.0
140,4.948759890378168,1,2,0,0,0,25,3.258096538021482,0,1,0,4,5,1,1,6,5,0,112.0
3219,8.077136638538454,0,0,4,6,9,11,2.4849066497880004,0,2,1,4,1,0,2,1,1,0,2900.0
504,6.22455842927536,1,0,4,0,4,5,1.791759469228055,0,2,0,5,5,3,6,3,1,0,480.0
342,5.8377304471659395,1,0,2,6,2,52,3.970291913552122,1,1,2,3,2,3,5,7,2,0,225.0
1704,7.4413203897176174,1,0,4,3,4,42,3.7612001156935624,1,0,2,0,2,5,6,0,6,0,1200.0
4004,8.29529885950246,1,2,4,0,4,43,3.784189633918261,0,1,3,1,3,7,4,0,1,0,2800.0
2178,7.68662133494462,1,0,3,1,8,21,3.091042453358316,0,0,1,0,1,5,0,5,3,0,1800.0
340,5.831882477283517,1,1,0,4,0,36,3.6109179126442243,1,0,1,1,6,5,2,7,4,0,250.0
1638,7.40184157874383,1,0,3,0,8,17,2.8903717578961645,0,2,2,3,7,5,3,0,1,0,1400.0
380,5.942799375126701,1,2,0,2,0,52,3.970291913552122,1,1,2,3,2,0,4,5,4,0,250.0
1562,7.354362330421477,1,2,2,1,2,42,3.7612001156935624,1,0,2,0,2,5,2,5,2,0,1100.0
2882,7.9665866976384025,1,2,2,5,2,31,3.4657359027997265,0,1,1,3,1,2,7,1,1,0,2200.0
870,6.769641976852503,1,0,0,2,0,16,2.833213344056216,1,1,1,2,6,3,6,5,2,0,750.0
798,6.683360945766275,1,0,3,0,8,52,3.970291913552122,1,1,2,3,2,3,4,4,2,0,525.0
456,6.124683390894205,1,0,1,1,6,14,2.70805020110221,1,2,4,0,4,5,2,4,2,0,400.0
628,6.444131256700441,1,1,3,5,8,57,4.060443010546419,0,0,2,1,7,2,0,1,1,0,400.0
594,6.38856140554563,1,0,4,6,4,8,2.1972245773362196,1,2,3,1,8,3,0,9,2,0,550.0
1540,7.340186835320115,1,1,0,0,0,54,4.007333185232471,1,0,4,5,4,6,4,8,2,0,1000.0
1526,7.3310603052186325,1,2,1,0,6,9,2.302585092994046,0,0,4,2,9,0,1,6,1,0,1400.0
282,5.645446897643238,1,0,2,2,2,41,3.7376696182833684,0,2,1,6,1,1,5,5,1,0,200.0
98,4.59511985013459,1,2,3,0,8,40,3.713572066704308,1,1,0,5,0,4,6,2,2,0,70.0
1357,7.213768308118642,0,1,2,6,7,18,2.9444389791664403,1,0,3,4,8,5,2,0,1,0,1150.0
87,4.477336814478207,0,0,2,3,7,45,3.828641396489095,0,0,0,3,5,7,1,5,3,0,60.0
2527,7.8351837552667485,0,1,2,0,7,33,3.5263605246161616,0,0,3,5,3,7,3,0,1,0,1900.0
3388,8.128290171607052,1,1,3,0,8,21,3.091042453358316,0,0,1,0,1,5,2,9,7,0,2800.0
680,6.523562306149512,1,2,0,1,0,36,3.6109179126442243,1,0,1,1,6,2,6,0,4,0,500.0
889,6.7912214627261855,0,1,4,0,9,27,3.332204510175204,0,0,2,6,7,1,2,9,1,0,700.0
2071,7.6362696033793735,0,1,1,6,1,9,2.302585092994046,0,0,4,2,9,1,7,7,1,0,1900.0
154,5.043425116919247,1,1,4,0,4,40,3.713572066704308,1,1,0,5,0,5,2,8,2,0,110.0
1679,7.426549072397305,0,2,4,6,9,46,3.8501476017100584,1,1,1,4,6,7,2,2,23,0,1150.0
1593,7.374001859350161,0,0,3,4,3,18,2.9444389791664403,1,0,3,4,8,6,7,5,9,0,1350.0
22,3.1354942159291497,1,1,2,1,2,10,2.3978952727983707,1,1,0,3,0,1,0,5,2,0,20.0
120,4.795790545596741,1,0,0,1,0,20,3.044522437723423,1,2,0,6,0,1,5,3,20,1,100.0
243,5.497168225293202,0,0,3,5,3,8,2.1972245773362196,1,2,3,1,8,5,1,4,1,0,225.0
651,6.480044561926653,0,0,1,0,1,55,4.02535169073515,0,1,0,6,5,4,6,0,1,0,420.0
488,6.192362489474872,1,2,3,5,8,22,3.1354942159291497,1,1,2,1,2,2,5,3,2,0,400.0
341,5.834810737062605,0,2,1,5,1,55,4.02535169073515,0,1,0,6,5,3,6,7,11,0,220.0
324,5.783825182329737,1,0,4,2,4,44,3.8066624897703196,1,2,4,2,4,7,0,6,4,0,225.0
3366,8.121777419161074,1,0,1,6,6,53,3.9889840465642745,0,2,3,4,3,1,5,6,1,0,2200.0
30,3.4339872044851463,1,0,0,2,0,20,3.044522437723423,1,2,0,6,0,0,1,9,10,0,25.0
2373,7.772331575169614,0,0,3,0,3,13,2.6390573296152584,0,1,3,6,3,7,3,8,1,0,2100.0
493,6.202535517187923,0,1,3,3,3,16,2.833213344056216,1,1,1,2,6,2,3,3,1,0,425.0
6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,0,1,0,5,6,4,2,0,4.0
3930,8.27664912542186,1,0,0,3,0,31,3.4657359027997265,0,1,1,3,1,4,2,5,1,0,3000.0
297,5.697093486505405,0,0,2,3,7,10,2.3978952727983707,1,1,0,3,0,4,4,5,1,0,270.0
999,6.907755278982137,0,0,4,5,9,11,2.4849066497880004,0,2,1,4,1,7,5,1,1,0,900.0
1534,7.336285660021297,1,1,4,1,4,18,2.9444389791664403,1,0,3,4,8,7,3,1,2,0,1300.0
3393,8.129764445794171,0,0,3,5,3,17,2.8903717578961645,0,2,2,3,7,5,7,6,1,0,2900.0
1428,7.264730177929867,1,0,3,0,8,19,2.995732273553991,0,1,4,5,9,3,1,8,1,0,1200.0
304,5.720311776607412,1,1,4,3,4,52,3.970291913552122,1,1,2,3,2,2,7,3,4,0,200.0
16,2.833213344056216,1,1,1,2,6,60,4.110873864173311,1,0,0,4,0,7,1,5,4,0,10.0
2675,7.892078421248119,0,2,0,1,5,7,2.0794415416798357,0,1,2,0,7,5,5,2,1,0,2500.0
899,6.802394763324311,0,2,4,3,9,55,4.02535169073515,0,1,0,6,5,2,6,9,1,0,580.0
1431,7.266827347520591,0,0,1,3,1,6,1.9459101490553132,1,0,1,6,6,2,1,7,3,0,1350.0
1722,7.45182223652793,1,0,2,0,2,23,3.1780538303479458,0,2,3,2,3,5,3,5,1,0,1400.0
444,6.09807428216624,1,0,4,3,4,48,3.8918202981106265,1,0,3,6,8,5,0,7,12,0,300.0
429,6.063785208687608,0,0,4,2,9,56,4.04305126783455,1,2,1,0,6,0,4,6,1,0,275.0
923,6.828712071641684,0,2,3,6,3,42,3.7612001156935624,1,0,2,0,2,5,0,3,1,0,650.0
4239,8.352318548226004,0,0,4,4,9,57,4.060443010546419,0,0,2,1,7,7,0,8,3,0,2700.0
21,3.091042453358316,0,0,1,0,1,50,3.9318256327243257,1,2,0,1,0,0,0,6,1,0,14.0
2260,7.72356247227797,1,1,0,6,0,13,2.6390573296152584,0,1,3,6,3,2,2,4,1,0,2000.0
468,6.150602768446279,1,0,3,6,8,44,3.8066624897703196,1,2,4,2,4,1,6,7,4,0,325.0
917,6.822197390620491,0,2,2,0,7,31,3.4657359027997265,0,1,1,3,1,0,3,0,1,0,700.0
1647,7.4073177104694174,0,0,2,2,7,22,3.1354942159291497,1,1,2,1,2,2,7,0,1,0,1350.0
1029,6.937314081223682,0,0,4,0,9,47,3.871201010907891,0,2,2,5,7,6,1,1,1,0,700.0
1016,6.92461239604856,1,2,1,1,6,27,3.332204510175204,0,0,2,6,7,3,0,5,1,0,800.0
2261,7.724004656676065,0,2,1,0,1,19,2.995732273553991,0,1,4,5,9,0,1,2,19,1,1900.0
162,5.093750200806762,1,0,2,1,2,35,3.58351893845611,0,2,0,0,5,3,5,9,1,0,120.0
108,4.6913478822291435,1,0,3,3,8,8,2.1972245773362196,1,2,3,1,8,4,4,8,4,0,100.0
1529,7.333023014386481,0,2,4,3,9,39,3.6888794541139363,0,0,4,4,9,3,7,8,1,0,1100.0
1644,7.405495663199472,1,0,4,6,4,37,3.6375861597263857,0,1,2,2,7,0,6,6,1,0,1200.0
119,4.787491742782046,0,2,4,0,9,40,3.713572066704308,1,1,0,5,0,0,6,9,1,0,85.0
589,6.380122536899765,0,1,4,1,9,55,4.02535169073515,0,1,0,6,5,4,5,1,1,0,380.0
420,6.042632833682381,1,0,0,0,0,5,1.791759469228055,0,2,0,5,5,3,7,6,5,1,400.0
775,6.654152520183219,0,1,0,5,5,24,3.2188758248682006,1,0,4,3,4,2,0,2,1,0,625.0
745,6.61472560020376,0,1,0,3,5,49,3.912023005428146,0,1,4,0,9,7,4,6,1,0,500.0
3270,8.092851027538384,1,0,0,1,0,9,2.302585092994046,0,0,4,2,9,5,3,3,3,0,3000.0
471,6.156978985585555,0,0,1,2,1,57,4.060443010546419,0,0,2,1,7,4,1,9,3,0,300.0
2373,7.772331575169614,0,0,3,0,3,13,2.6390573296152584,0,1,3,6,3,2,5,4,1,0,2100.0
33,3.5263605246161616,0,0,3,5,3,50,3.9318256327243257,1,2,0,1,0,1,1,7,1,0,22.0
