slot_total_people,slot_total_people_abs_log1p,slot_total_people_mod3,slot_total_people_mod5,slot_total_people_mod7,slot_total_people_mod10,slot_per_group1_each,slot_per_group1_each_abs_log1p,slot_per_group1_each_is_even,slot_per_group1_each_mod3,slot_per_group1_each_mod5,slot_per_group1_each_mod7,slot_per_group1_each_mod10,slot_base_factor,slot_base_factor_abs_log1p,slot_base_factor_is_even,slot_base_factor_mod3,slot_base_factor_mod5,slot_base_factor_mod7,slot_base_factor_mod10,slot_extra_factor,slot_extra_factor_abs_log1p,slot_extra_factor_is_even,slot_extra_factor_mod3,slot_extra_factor_mod5,slot_extra_factor_mod7,slot_extra_factor_mod10,slot_item,slot_group1_member,slot_group2_member,gcd_all,n_multiple_pairs,y
44,3.8066624897703196,2,4,2,4,67,4.219507705176107,0,1,2,4,7,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,5,5,5,1,0,737.0
14,2.70805020110221,2,4,0,4,47,3.871201010907891,0,2,2,5,7,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,7,2,2,1,1,235.0
26,3.295836866004329,2,1,5,6,11,2.4849066497880004,0,2,1,4,1,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,8,6,6,1,0,143.0
56,4.04305126783455,2,1,0,6,53,3.9889840465642745,0,2,3,4,3,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,2,9,9,1,1,477.0
54,4.007333185232471,0,4,5,4,49,3.912023005428146,0,1,4,0,9,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,8,8,1,4,147.0
30,3.4339872044851463,0,0,2,0,79,4.382026634673881,0,1,4,2,9,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,6,2,2,1,5,158.0
46,3.8501476017100584,1,1,4,6,107,4.68213122712422,0,2,2,2,7,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,9,3,3,1,3,963.0
58,4.07753744390572,1,3,2,8,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,8,4,4,1,0,266.0
56,4.04305126783455,2,1,0,6,35,3.58351893845611,0,2,0,0,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,6,6,1,3,140.0
32,3.4965075614664802,2,2,4,2,92,4.532599493153256,1,2,2,1,2,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,4,4,4,5,736.0
46,3.8501476017100584,1,1,4,6,116,4.762173934797756,1,2,1,4,6,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,0,0,1,2,580.0
26,3.295836866004329,2,1,5,6,110,4.709530201312334,1,2,0,5,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,4,8,8,1,4,660.0
42,3.7612001156935624,0,2,0,2,103,4.6443908991413725,0,1,3,5,3,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,4,8,8,1,1,824.0
16,2.833213344056216,1,1,2,6,81,4.406719247264253,0,0,1,4,1,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,0,9,9,1,1,1053.0
36,3.6109179126442243,0,1,1,6,107,4.68213122712422,0,2,2,2,7,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,7,4,4,1,1,1177.0
22,3.1354942159291497,1,2,1,2,60,4.110873864173311,1,0,0,4,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4,5,5,1,4,240.0
48,3.8918202981106265,0,3,6,8,59,4.0943445622221,0,2,4,3,9,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,0,0,1,5,118.0
4,1.6094379124341003,1,4,4,4,105,4.663439094112067,0,0,0,0,5,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,7,6,6,1,2,840.0
56,4.04305126783455,2,1,0,6,26,3.295836866004329,1,2,1,5,6,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,8,8,8,1,1,260.0
28,3.367295829986474,1,3,0,8,52,3.970291913552122,1,1,2,3,2,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,5,5,5,2,5,312.0
52,3.970291913552122,1,2,3,2,13,2.6390573296152584,0,1,3,6,3,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,1,3,3,1,3,130.0
26,3.295836866004329,2,1,5,6,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,8,1,1,1,1,80.0
50,3.9318256327243257,2,0,1,0,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,2,3,3,1,2,84.0
34,3.5553480614894135,1,4,6,4,84,4.442651256490317,1,0,4,0,4,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,7,7,7,1,4,672.0
34,3.5553480614894135,1,4,6,4,23,3.1780538303479458,0,2,3,2,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,2,2,1,1,161.0
40,3.713572066704308,1,0,5,0,95,4.564348191467836,0,2,0,4,5,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1,1,1,3,855.0
30,3.4339872044851463,0,0,2,0,21,3.091042453358316,0,0,1,0,1,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,7,4,4,1,2,147.0
58,4.07753744390572,1,3,2,8,35,3.58351893845611,0,2,0,0,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,8,8,1,4,105.0
20,3.044522437723423,2,0,6,0,71,4.276666119016055,0,2,1,1,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,3,5,5,1,2,497.0
10,2.3978952727983707,1,0,3,0,111,4.718498871295094,0,0,1,6,1,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,4,4,1,2,777.0
12,2.5649493574615367,0,2,5,2,115,4.7535901911063645,0,1,0,3,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,2,1,1,1,4,460.0
14,2.70805020110221,2,4,0,4,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,1,1,1,1,3,96.0
54,4.007333185232471,0,4,5,4,70,4.2626798770413155,1,1,0,0,0,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,8,1,1,1,3,350.0
28,3.367295829986474,1,3,0,8,65,4.189654742026425,0,2,0,2,5,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,7,3,3,1,2,520.0
4,1.6094379124341003,1,4,4,4,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,8,4,4,1,1,351.0
32,3.4965075614664802,2,2,4,2,41,3.7376696182833684,0,2,1,6,1,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,5,8,8,1,4,205.0
52,3.970291913552122,1,2,3,2,115,4.7535901911063645,0,1,0,3,5,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,0,0,1,2,1035.0
36,3.6109179126442243,0,1,1,6,120,4.795790545596741,1,0,0,1,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,2,3,3,1,3,1080.0
4,1.6094379124341003,1,4,4,4,93,4.543294782270004,0,0,3,2,3,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,7,4,4,1,4,372.0
46,3.8501476017100584,1,1,4,6,71,4.276666119016055,0,2,1,1,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,4,3,3,1,0,568.0
16,2.833213344056216,1,1,2,6,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,8,0,0,1,1,110.0
26,3.295836866004329,2,1,5,6,27,3.332204510175204,0,0,2,6,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,5,5,1,1,189.0
14,2.70805020110221,2,4,0,4,64,4.174387269895637,1,1,4,1,4,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,8,2,2,2,3,512.0
18,2.9444389791664403,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,0,0,0,1,3,63.0
14,2.70805020110221,2,4,0,4,82,4.418840607796598,1,1,2,5,2,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,2,2,2,1,656.0
14,2.70805020110221,2,4,0,4,99,4.605170185988092,0,0,4,1,9,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,8,1,1,1,0,990.0
26,3.295836866004329,2,1,5,6,115,4.7535901911063645,0,1,0,3,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,7,9,9,1,2,690.0
34,3.5553480614894135,1,4,6,4,97,4.584967478670572,0,1,2,6,7,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,9,2,2,1,3,388.0
16,2.833213344056216,1,1,2,6,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,5,1,1,1,3,90.0
34,3.5553480614894135,1,4,6,4,101,4.624972813284271,0,2,1,3,1,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,6,1,1,1,1,808.0
46,3.8501476017100584,1,1,4,6,17,2.8903717578961645,0,2,2,3,7,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,2,0,0,1,1,153.0
16,2.833213344056216,1,1,2,6,88,4.48863636973214,1,1,3,4,8,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,5,7,7,1,2,792.0
12,2.5649493574615367,0,2,5,2,47,3.871201010907891,0,2,2,5,7,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,5,0,0,1,3,376.0
12,2.5649493574615367,0,2,5,2,114,4.74493212836325,1,0,4,2,4,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,6,2,2,1,5,228.0
30,3.4339872044851463,0,0,2,0,107,4.68213122712422,0,2,2,2,7,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,6,9,9,1,1,856.0
44,3.8066624897703196,2,4,2,4,54,4.007333185232471,1,0,4,5,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,9,6,6,1,2,378.0
6,1.9459101490553132,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,7,4,4,1,3,44.0
4,1.6094379124341003,1,4,4,4,61,4.127134385045092,0,1,1,5,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,9,6,6,1,3,244.0
36,3.6109179126442243,0,1,1,6,115,4.7535901911063645,0,1,0,3,5,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,0,8,8,1,1,1495.0
54,4.007333185232471,0,4,5,4,71,4.276666119016055,0,2,1,1,1,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,9,6,6,1,0,923.0
12,2.5649493574615367,0,2,5,2,102,4.634728988229636,1,0,2,4,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,0,3,3,1,1,1122.0
40,3.713572066704308,1,0,5,0,32,3.4965075614664802,1,2,2,4,2,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,2,1,1,1,5,96.0
52,3.970291913552122,1,2,3,2,83,4.430816798843313,0,2,3,6,3,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,8,4,4,1,1,747.0
38,3.6635616461296463,2,3,3,8,118,4.77912349311153,1,1,3,6,8,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,4,5,5,1,3,472.0
34,3.5553480614894135,1,4,6,4,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,8,9,9,1,3,44.0
48,3.8918202981106265,0,3,6,8,110,4.709530201312334,1,2,0,5,0,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,3,3,1,2,770.0
58,4.07753744390572,1,3,2,8,109,4.700480365792417,0,1,4,4,9,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,3,4,4,1,1,654.0
48,3.8918202981106265,0,3,6,8,59,4.0943445622221,0,2,4,3,9,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,7,0,0,1,1,531.0
48,3.8918202981106265,0,3,6,8,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,0,7,7,1,4,180.0
54,4.007333185232471,0,4,5,4,120,4.795790545596741,1,0,0,1,0,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,7,5,5,2,3,1200.0
26,3.295836866004329,2,1,5,6,87,4.477336814478207,0,0,2,3,7,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2,7,7,1,1,696.0
22,3.1354942159291497,1,2,1,2,106,4.672828834461906,1,1,1,1,6,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,4,3,3,1,3,742.0
34,3.5553480614894135,1,4,6,4,107,4.68213122712422,0,2,2,2,7,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,5,2,2,1,3,428.0
32,3.4965075614664802,2,2,4,2,46,3.8501476017100584,1,1,1,4,6,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,9,9,1,2,414.0
12,2.5649493574615367,0,2,5,2,105,4.663439094112067,0,0,0,0,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,9,9,1,3,1050.0
28,3.367295829986474,1,3,0,8,69,4.248495242049359,0,0,4,6,9,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,3,5,5,1,2,345.0
6,1.9459101490553132,0,1,6,6,49,3.912023005428146,0,1,4,0,9,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,5,5,1,3,196.0
10,2.3978952727983707,1,0,3,0,12,2.5649493574615367,1,0,2,5,2,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2,2,2,2,3,120.0
26,3.295836866004329,2,1,5,6,106,4.672828834461906,1,1,1,1,6,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,9,1,1,1,2,530.0
28,3.367295829986474,1,3,0,8,109,4.700480365792417,0,1,4,4,9,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,5,3,3,1,3,436.0
16,2.833213344056216,1,1,2,6,73,4.30406509320417,0,1,3,3,3,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,3,3,1,1,657.0
26,3.295836866004329,2,1,5,6,104,4.653960350157523,1,2,4,6,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,5,2,2,2,5,624.0
44,3.8066624897703196,2,4,2,4,92,4.532599493153256,1,2,2,1,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,3,6,6,1,2,1012.0
18,2.9444389791664403,0,3,4,8,47,3.871201010907891,0,2,2,5,7,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,4,1,1,1,3,235.0
10,2.3978952727983707,1,0,3,0,51,3.9512437185814275,0,0,1,2,1,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,5,5,5,1,2,408.0
12,2.5649493574615367,0,2,5,2,91,4.5217885770490405,0,1,1,0,1,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,0,8,8,1,5,182.0
22,3.1354942159291497,1,2,1,2,108,4.6913478822291435,1,0,3,3,8,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,7,1,1,1,1,1188.0
32,3.4965075614664802,2,2,4,2,91,4.5217885770490405,0,1,1,0,1,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,4,1,1,1,3,364.0
42,3.7612001156935624,0,2,0,2,33,3.5263605246161616,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,0,0,1,2,231.0
56,4.04305126783455,2,1,0,6,66,4.204692619390966,1,0,1,3,6,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,1,1,2,2,660.0
20,3.044522437723423,2,0,6,0,57,4.060443010546419,0,0,2,1,7,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,0,0,1,3,342.0
56,4.04305126783455,2,1,0,6,80,4.394449154672439,1,2,0,3,0,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,5,5,1,1,640.0
6,1.9459101490553132,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,0,1,1,1,3,55.0
40,3.713572066704308,1,0,5,0,108,4.6913478822291435,1,0,3,3,8,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,3,3,3,1,2,1404.0
44,3.8066624897703196,2,4,2,4,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,8,8,1,5,16.0
38,3.6635616461296463,2,3,3,8,114,4.74493212836325,1,0,4,2,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,9,6,6,2,4,684.0
42,3.7612001156935624,0,2,0,2,79,4.382026634673881,0,1,4,2,9,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,6,8,8,1,1,948.0
18,2.9444389791664403,0,3,4,8,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,7,0,0,1,5,144.0
26,3.295836866004329,2,1,5,6,94,4.553876891600541,1,1,4,3,4,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,0,8,8,1,2,470.0
34,3.5553480614894135,1,4,6,4,56,4.04305126783455,1,2,1,0,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,8,9,9,1,2,392.0
20,3.044522437723423,2,0,6,0,91,4.5217885770490405,0,1,1,0,1,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,5,0,0,1,2,728.0
48,3.8918202981106265,0,3,6,8,75,4.330733340286331,0,0,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,9,7,7,1,3,375.0
58,4.07753744390572,1,3,2,8,68,4.23410650459726,1,2,3,5,8,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,7,3,3,1,1,748.0
42,3.7612001156935624,0,2,0,2,79,4.382026634673881,0,1,4,2,9,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,6,8,8,1,1,869.0
32,3.4965075614664802,2,2,4,2,45,3.828641396489095,0,0,0,3,5,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,9,5,5,1,1,540.0
44,3.8066624897703196,2,4,2,4,38,3.6635616461296463,1,2,3,3,8,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,6,8,8,1,3,266.0
12,2.5649493574615367,0,2,5,2,117,4.770684624465665,0,0,2,5,7,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,4,5,5,1,4,585.0
44,3.8066624897703196,2,4,2,4,49,3.912023005428146,0,1,4,0,9,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,2,2,2,1,4,147.0
50,3.9318256327243257,2,0,1,0,82,4.418840607796598,1,1,2,5,2,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,6,9,9,1,0,902.0
22,3.1354942159291497,1,2,1,2,60,4.110873864173311,1,0,0,4,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,3,3,3,1,4,300.0
18,2.9444389791664403,0,3,4,8,26,3.295836866004329,1,2,1,5,6,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,2,5,5,1,3,208.0
22,3.1354942159291497,1,2,1,2,41,3.7376696182833684,0,2,1,6,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,4,3,3,1,3,164.0
18,2.9444389791664403,0,3,4,8,100,4.61512051684126,1,1,0,2,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,7,7,1,3,500.0
52,3.970291913552122,1,2,3,2,64,4.174387269895637,1,1,4,1,4,5,1.791759469228055,0,2,0,5,5,7,2.0794415416798357,0,1,2,0,7,1,7,7,1,0,768.0
48,3.8918202981106265,0,3,6,8,20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,5,3,3,1,5,60.0
4,1.6094379124341003,1,4,4,4,49,3.912023005428146,0,1,4,0,9,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,9,8,8,1,2,441.0
32,3.4965075614664802,2,2,4,2,86,4.465908118654584,1,2,1,2,6,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,0,1,1,2,3,1032.0
38,3.6635616461296463,2,3,3,8,29,3.4011973816621555,0,2,4,1,9,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,8,8,8,1,0,261.0
22,3.1354942159291497,1,2,1,2,61,4.127134385045092,0,1,1,5,1,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,7,7,1,1,427.0
52,3.970291913552122,1,2,3,2,97,4.584967478670572,0,1,2,6,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,6,7,7,1,1,679.0
26,3.295836866004329,2,1,5,6,60,4.110873864173311,1,0,0,4,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,7,4,4,1,4,360.0
12,2.5649493574615367,0,2,5,2,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,7,3,3,1,3,250.0
6,1.9459101490553132,0,1,6,6,79,4.382026634673881,0,1,4,2,9,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,3,3,1,1,790.0
30,3.4339872044851463,0,0,2,0,108,4.6913478822291435,1,0,3,3,8,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,9,7,7,1,4,540.0
16,2.833213344056216,1,1,2,6,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,4,6,6,1,1,50.0
44,3.8066624897703196,2,4,2,4,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,3,3,1,1,140.0
18,2.9444389791664403,0,3,4,8,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,6,6,1,4,15.0
18,2.9444389791664403,0,3,4,8,83,4.430816798843313,0,2,3,6,3,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,2,9,9,1,1,664.0
58,4.07753744390572,1,3,2,8,117,4.770684624465665,0,0,2,5,7,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,7,1,1,1,3,585.0
50,3.9318256327243257,2,0,1,0,70,4.2626798770413155,1,1,0,0,0,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,3,8,8,5,5,700.0
26,3.295836866004329,2,1,5,6,26,3.295836866004329,1,2,1,5,6,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,8,2,2,1,1,208.0
22,3.1354942159291497,1,2,1,2,37,3.6375861597263857,0,1,2,2,7,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,7,2,2,1,1,259.0
40,3.713572066704308,1,0,5,0,99,4.605170185988092,0,0,4,1,9,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,3,2,2,1,3,594.0
38,3.6635616461296463,2,3,3,8,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,3,2,2,1,1,330.0
8,2.1972245773362196,2,3,1,8,75,4.330733340286331,0,0,0,5,5,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,5,5,5,1,3,600.0
52,3.970291913552122,1,2,3,2,68,4.23410650459726,1,2,3,5,8,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,5,1,1,1,3,272.0
28,3.367295829986474,1,3,0,8,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,4,3,3,1,3,360.0
14,2.70805020110221,2,4,0,4,41,3.7376696182833684,0,2,1,6,1,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,6,3,3,1,1,451.0
24,3.2188758248682006,0,4,3,4,93,4.543294782270004,0,0,3,2,3,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,9,4,4,1,2,744.0
58,4.07753744390572,1,3,2,8,32,3.4965075614664802,1,2,2,4,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,8,5,5,1,0,352.0
52,3.970291913552122,1,2,3,2,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,0,0,1,2,120.0
46,3.8501476017100584,1,1,4,6,53,3.9889840465642745,0,2,3,4,3,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,5,5,5,1,3,212.0
8,2.1972245773362196,2,3,1,8,42,3.7612001156935624,1,0,2,0,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,4,6,6,1,4,210.0
