slot_name_a,slot_name_b,slot_a_yesterday,slot_a_yesterday_abs_log1p,slot_a_yesterday_is_even,slot_a_yesterday_mod3,slot_a_yesterday_mod5,slot_a_yesterday_mod7,slot_a_yesterday_mod10,slot_b_yesterday,slot_b_yesterday_abs_log1p,slot_b_yesterday_is_even,slot_b_yesterday_mod3,slot_b_yesterday_mod5,slot_b_yesterday_mod7,slot_b_yesterday_mod10,slot_delta,slot_delta_abs_log1p,slot_delta_is_even,slot_delta_mod3,slot_delta_mod5,slot_delta_mod7,slot_delta_mod10,gcd_all,n_multiple_pairs,y
5,1,25,3.258096538021482,0,1,0,4,5,77,4.356708826689592,0,2,2,0,7,21,3.091042453358316,0,0,1,0,1,1,0,46.0
5,7,62,4.143134726391533,1,2,2,6,2,44,3.8066624897703196,1,2,4,2,4,18,2.9444389791664403,1,0,3,4,8,2,0,80.0
4,9,27,3.332204510175204,0,0,2,6,7,16,2.833213344056216,1,1,1,2,6,20,3.044522437723423,1,2,0,6,0,1,0,47.0
6,13,72,4.290459441148391,1,0,2,2,2,79,4.382026634673881,0,1,4,2,9,11,2.4849066497880004,0,2,1,4,1,1,0,83.0
11,8,66,4.204692619390966,1,0,1,3,6,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,3,2,78.0
12,10,80,4.394449154672439,1,2,0,3,0,43,3.784189633918261,0,1,3,1,3,19,2.995732273553991,0,1,4,5,9,1,0,99.0
13,5,55,4.02535169073515,0,1,0,6,5,48,3.8918202981106265,1,0,3,6,8,25,3.258096538021482,0,1,0,4,5,1,0,80.0
9,5,58,4.07753744390572,1,1,3,2,8,44,3.8066624897703196,1,2,4,2,4,16,2.833213344056216,1,1,1,2,6,2,0,74.0
7,3,71,4.276666119016055,0,2,1,1,1,5,1.791759469228055,0,2,0,5,5,13,2.6390573296152584,0,1,3,6,3,1,0,84.0
13,12,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,2,11.0
3,8,45,3.828641396489095,0,0,0,3,5,50,3.9318256327243257,1,2,0,1,0,18,2.9444389791664403,1,0,3,4,8,1,0,63.0
3,11,78,4.3694478524670215,1,0,3,1,8,68,4.23410650459726,1,2,3,5,8,15,2.772588722239781,0,0,0,1,5,1,0,93.0
1,8,79,4.382026634673881,0,1,4,2,9,21,3.091042453358316,0,0,1,0,1,15,2.772588722239781,0,0,0,1,5,1,0,94.0
10,9,52,3.970291913552122,1,1,2,3,2,80,4.394449154672439,1,2,0,3,0,5,1.791759469228055,0,2,0,5,5,1,1,57.0
9,4,69,4.248495242049359,0,0,4,6,9,32,3.4965075614664802,1,2,2,4,2,23,3.1780538303479458,0,2,3,2,3,1,1,92.0
7,4,35,3.58351893845611,0,2,0,0,5,72,4.290459441148391,1,0,2,2,2,24,3.2188758248682006,1,0,4,3,4,1,1,59.0
6,3,72,4.290459441148391,1,0,2,2,2,48,3.8918202981106265,1,0,3,6,8,16,2.833213344056216,1,1,1,2,6,8,1,88.0
4,4,51,3.9512437185814275,0,0,1,2,1,38,3.6635616461296463,1,2,3,3,8,12,2.5649493574615367,1,0,2,5,2,1,0,63.0
11,10,23,3.1780538303479458,0,2,3,2,3,12,2.5649493574615367,1,0,2,5,2,11,2.4849066497880004,0,2,1,4,1,1,0,34.0
11,7,53,3.9889840465642745,0,2,3,4,3,5,1.791759469228055,0,2,0,5,5,22,3.1354942159291497,1,1,2,1,2,1,0,75.0
4,6,5,1.791759469228055,0,2,0,5,5,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,1,0,9.0
13,4,41,3.7376696182833684,0,2,1,6,1,74,4.31748811353631,1,2,4,4,4,22,3.1354942159291497,1,1,2,1,2,1,0,63.0
10,8,12,2.5649493574615367,1,0,2,5,2,59,4.0943445622221,0,2,4,3,9,11,2.4849066497880004,0,2,1,4,1,1,0,23.0
14,14,59,4.0943445622221,0,2,4,3,9,9,2.302585092994046,0,0,4,2,9,25,3.258096538021482,0,1,0,4,5,1,0,84.0
1,10,56,4.04305126783455,1,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,1,1,78.0
10,13,20,3.044522437723423,1,2,0,6,0,73,4.30406509320417,0,1,3,3,3,2,1.0986122886681098,1,2,2,2,2,1,1,22.0
2,14,57,4.060443010546419,0,0,2,1,7,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0,62.0
11,11,71,4.276666119016055,0,2,1,1,1,69,4.248495242049359,0,0,4,6,9,15,2.772588722239781,0,0,0,1,5,1,0,86.0
10,1,60,4.110873864173311,1,0,0,4,0,38,3.6635616461296463,1,2,3,3,8,22,3.1354942159291497,1,1,2,1,2,2,0,82.0
12,5,11,2.4849066497880004,0,2,1,4,1,48,3.8918202981106265,1,0,3,6,8,6,1.9459101490553132,1,0,1,6,6,1,1,17.0
1,7,79,4.382026634673881,0,1,4,2,9,33,3.5263605246161616,0,0,3,5,3,12,2.5649493574615367,1,0,2,5,2,1,0,91.0
14,8,67,4.219507705176107,0,1,2,4,7,19,2.995732273553991,0,1,4,5,9,8,2.1972245773362196,1,2,3,1,8,1,0,75.0
12,2,12,2.5649493574615367,1,0,2,5,2,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,4,2,16.0
8,12,77,4.356708826689592,0,2,2,0,7,35,3.58351893845611,0,2,0,0,5,13,2.6390573296152584,0,1,3,6,3,1,0,90.0
8,10,62,4.143134726391533,1,2,2,6,2,25,3.258096538021482,0,1,0,4,5,14,2.70805020110221,1,2,4,0,4,1,0,76.0
1,2,72,4.290459441148391,1,0,2,2,2,55,4.02535169073515,0,1,0,6,5,6,1.9459101490553132,1,0,1,6,6,1,1,78.0
8,1,16,2.833213344056216,1,1,1,2,6,40,3.713572066704308,1,1,0,5,0,21,3.091042453358316,0,0,1,0,1,1,0,37.0
7,11,51,3.9512437185814275,0,0,1,2,1,29,3.4011973816621555,0,2,4,1,9,23,3.1780538303479458,0,2,3,2,3,1,0,74.0
5,12,54,4.007333185232471,1,0,4,5,4,15,2.772588722239781,0,0,0,1,5,13,2.6390573296152584,0,1,3,6,3,1,0,67.0
6,14,33,3.5263605246161616,0,0,3,5,3,17,2.8903717578961645,0,2,2,3,7,19,2.995732273553991,0,1,4,5,9,1,0,52.0
7,14,24,3.2188758248682006,1,0,4,3,4,35,3.58351893845611,0,2,0,0,5,19,2.995732273553991,0,1,4,5,9,1,0,43.0
9,3,31,3.4657359027997265,0,1,1,3,1,26,3.295836866004329,1,2,1,5,6,2,1.0986122886681098,1,2,2,2,2,1,1,33.0
11,7,65,4.189654742026425,0,2,0,2,5,27,3.332204510175204,0,0,2,6,7,17,2.8903717578961645,0,2,2,3,7,1,0,82.0
12,4,50,3.9318256327243257,1,2,0,1,0,23,3.1780538303479458,0,2,3,2,3,7,2.0794415416798357,0,1,2,0,7,1,0,57.0
2,3,43,3.784189633918261,0,1,3,1,3,48,3.8918202981106265,1,0,3,6,8,14,2.70805020110221,1,2,4,0,4,1,0,57.0
2,12,32,3.4965075614664802,1,2,2,4,2,39,3.6888794541139363,0,0,4,4,9,14,2.70805020110221,1,2,4,0,4,1,0,46.0
3,14,63,4.1588830833596715,0,0,3,0,3,80,4.394449154672439,1,2,0,3,0,11,2.4849066497880004,0,2,1,4,1,1,0,74.0
2,12,21,3.091042453358316,0,0,1,0,1,63,4.1588830833596715,0,0,3,0,3,18,2.9444389791664403,1,0,3,4,8,3,1,39.0
2,13,18,2.9444389791664403,1,0,3,4,8,43,3.784189633918261,0,1,3,1,3,20,3.044522437723423,1,2,0,6,0,1,0,38.0
0,13,36,3.6109179126442243,1,0,1,1,6,28,3.367295829986474,1,1,3,0,8,15,2.772588722239781,0,0,0,1,5,1,0,51.0
12,1,35,3.58351893845611,0,2,0,0,5,72,4.290459441148391,1,0,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,1,42.0
1,10,18,2.9444389791664403,1,0,3,4,8,21,3.091042453358316,0,0,1,0,1,23,3.1780538303479458,0,2,3,2,3,1,0,41.0
7,6,17,2.8903717578961645,0,2,2,3,7,52,3.970291913552122,1,1,2,3,2,4,1.6094379124341003,1,1,4,4,4,1,1,21.0
8,1,38,3.6635616461296463,1,2,3,3,8,79,4.382026634673881,0,1,4,2,9,11,2.4849066497880004,0,2,1,4,1,1,0,49.0
1,6,26,3.295836866004329,1,2,1,5,6,13,2.6390573296152584,0,1,3,6,3,23,3.1780538303479458,0,2,3,2,3,1,1,49.0
4,6,48,3.8918202981106265,1,0,3,6,8,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,1,0,69.0
8,3,39,3.6888794541139363,0,0,4,4,9,63,4.1588830833596715,0,0,3,0,3,23,3.1780538303479458,0,2,3,2,3,1,0,62.0
3,4,25,3.258096538021482,0,1,0,4,5,40,3.713572066704308,1,1,0,5,0,8,2.1972245773362196,1,2,3,1,8,1,1,33.0
10,3,23,3.1780538303479458,0,2,3,2,3,68,4.23410650459726,1,2,3,5,8,10,2.3978952727983707,1,1,0,3,0,1,0,33.0
4,1,76,4.343805421853684,1,1,1,6,6,46,3.8501476017100584,1,1,1,4,6,8,2.1972245773362196,1,2,3,1,8,2,0,84.0
5,10,23,3.1780538303479458,0,2,3,2,3,71,4.276666119016055,0,2,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,2,24.0
9,5,22,3.1354942159291497,1,1,2,1,2,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,2,2,2,2,2,2,24.0
11,5,45,3.828641396489095,0,0,0,3,5,45,3.828641396489095,0,0,0,3,5,4,1.6094379124341003,1,1,4,4,4,1,1,49.0
9,1,66,4.204692619390966,1,0,1,3,6,47,3.871201010907891,0,2,2,5,7,24,3.2188758248682006,1,0,4,3,4,1,0,90.0
0,6,54,4.007333185232471,1,0,4,5,4,28,3.367295829986474,1,1,3,0,8,12,2.5649493574615367,1,0,2,5,2,2,0,66.0
12,5,79,4.382026634673881,0,1,4,2,9,4,1.6094379124341003,1,1,4,4,4,22,3.1354942159291497,1,1,2,1,2,1,0,101.0
10,1,46,3.8501476017100584,1,1,1,4,6,38,3.6635616461296463,1,2,3,3,8,16,2.833213344056216,1,1,1,2,6,2,0,62.0
2,14,28,3.367295829986474,1,1,3,0,8,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,4,2,32.0
0,10,71,4.276666119016055,0,2,1,1,1,62,4.143134726391533,1,2,2,6,2,9,2.302585092994046,0,0,4,2,9,1,0,80.0
5,11,22,3.1354942159291497,1,1,2,1,2,31,3.4657359027997265,0,1,1,3,1,22,3.1354942159291497,1,1,2,1,2,1,1,44.0
3,8,70,4.2626798770413155,1,1,0,0,0,11,2.4849066497880004,0,2,1,4,1,17,2.8903717578961645,0,2,2,3,7,1,0,87.0
4,0,7,2.0794415416798357,0,1,2,0,7,40,3.713572066704308,1,1,0,5,0,17,2.8903717578961645,0,2,2,3,7,1,0,24.0
6,14,29,3.4011973816621555,0,2,4,1,9,70,4.2626798770413155,1,1,0,0,0,14,2.70805020110221,1,2,4,0,4,1,1,43.0
8,1,52,3.970291913552122,1,1,2,3,2,66,4.204692619390966,1,0,1,3,6,7,2.0794415416798357,0,1,2,0,7,1,0,59.0
7,1,10,2.3978952727983707,1,1,0,3,0,80,4.394449154672439,1,2,0,3,0,22,3.1354942159291497,1,1,2,1,2,2,1,32.0
3,10,64,4.174387269895637,1,1,4,1,4,61,4.127134385045092,0,1,1,5,1,21,3.091042453358316,0,0,1,0,1,1,0,85.0
4,9,62,4.143134726391533,1,2,2,6,2,40,3.713572066704308,1,1,0,5,0,22,3.1354942159291497,1,1,2,1,2,2,0,84.0
5,2,57,4.060443010546419,0,0,2,1,7,54,4.007333185232471,1,0,4,5,4,19,2.995732273553991,0,1,4,5,9,1,1,76.0
10,1,10,2.3978952727983707,1,1,0,3,0,53,3.9889840465642745,0,2,3,4,3,4,1.6094379124341003,1,1,4,4,4,1,0,14.0
10,12,37,3.6375861597263857,0,1,2,2,7,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,1,1,45.0
0,0,57,4.060443010546419,0,0,2,1,7,42,3.7612001156935624,1,0,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,1,64.0
8,6,68,4.23410650459726,1,2,3,5,8,57,4.060443010546419,0,0,2,1,7,4,1.6094379124341003,1,1,4,4,4,1,1,72.0
2,14,24,3.2188758248682006,1,0,4,3,4,80,4.394449154672439,1,2,0,3,0,14,2.70805020110221,1,2,4,0,4,2,0,38.0
14,14,59,4.0943445622221,0,2,4,3,9,29,3.4011973816621555,0,2,4,1,9,2,1.0986122886681098,1,2,2,2,2,1,0,61.0
11,12,77,4.356708826689592,0,2,2,0,7,12,2.5649493574615367,1,0,2,5,2,10,2.3978952727983707,1,1,0,3,0,1,0,87.0
2,3,28,3.367295829986474,1,1,3,0,8,64,4.174387269895637,1,1,4,1,4,9,2.302585092994046,0,0,4,2,9,1,0,37.0
6,9,31,3.4657359027997265,0,1,1,3,1,71,4.276666119016055,0,2,1,1,1,21,3.091042453358316,0,0,1,0,1,1,0,52.0
3,5,46,3.8501476017100584,1,1,1,4,6,43,3.784189633918261,0,1,3,1,3,2,1.0986122886681098,1,2,2,2,2,1,1,48.0
14,8,70,4.2626798770413155,1,1,0,0,0,47,3.871201010907891,0,2,2,5,7,17,2.8903717578961645,0,2,2,3,7,1,0,87.0
6,12,47,3.871201010907891,0,2,2,5,7,26,3.295836866004329,1,2,1,5,6,14,2.70805020110221,1,2,4,0,4,1,0,61.0
0,7,3,1.3862943611198906,0,0,3,3,3,28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,1,0,8.0
1,4,67,4.219507705176107,0,1,2,4,7,41,3.7376696182833684,0,2,1,6,1,5,1.791759469228055,0,2,0,5,5,1,0,72.0
11,10,47,3.871201010907891,0,2,2,5,7,15,2.772588722239781,0,0,0,1,5,18,2.9444389791664403,1,0,3,4,8,1,0,65.0
4,7,37,3.6375861597263857,0,1,2,2,7,70,4.2626798770413155,1,1,0,0,0,19,2.995732273553991,0,1,4,5,9,1,0,56.0
8,1,78,4.3694478524670215,1,0,3,1,8,10,2.3978952727983707,1,1,0,3,0,13,2.6390573296152584,0,1,3,6,3,1,1,91.0
9,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,14,2.70805020110221,1,2,4,0,4,1,0,19.0
7,8,78,4.3694478524670215,1,0,3,1,8,55,4.02535169073515,0,1,0,6,5,11,2.4849066497880004,0,2,1,4,1,1,1,89.0
10,8,24,3.2188758248682006,1,0,4,3,4,78,4.3694478524670215,1,0,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,2,25.0
7,5,21,3.091042453358316,0,0,1,0,1,36,3.6109179126442243,1,0,1,1,6,13,2.6390573296152584,0,1,3,6,3,1,0,34.0
12,11,45,3.828641396489095,0,0,0,3,5,13,2.6390573296152584,0,1,3,6,3,22,3.1354942159291497,1,1,2,1,2,1,0,67.0
13,5,72,4.290459441148391,1,0,2,2,2,80,4.394449154672439,1,2,0,3,0,13,2.6390573296152584,0,1,3,6,3,1,0,85.0
3,10,47,3.871201010907891,0,2,2,5,7,51,3.9512437185814275,0,0,1,2,1,20,3.044522437723423,1,2,0,6,0,1,0,67.0
7,11,42,3.7612001156935624,1,0,2,0,2,40,3.713572066704308,1,1,0,5,0,12,2.5649493574615367,1,0,2,5,2,2,0,54.0
12,3,32,3.4965075614664802,1,2,2,4,2,56,4.04305126783455,1,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,1,1,39.0
11,7,77,4.356708826689592,0,2,2,0,7,58,4.07753744390572,1,1,3,2,8,18,2.9444389791664403,1,0,3,4,8,1,0,95.0
8,5,40,3.713572066704308,1,1,0,5,0,72,4.290459441148391,1,0,2,2,2,22,3.1354942159291497,1,1,2,1,2,2,0,62.0
12,14,48,3.8918202981106265,1,0,3,6,8,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,2,2,50.0
3,5,6,1.9459101490553132,1,0,1,6,6,65,4.189654742026425,0,2,0,2,5,23,3.1780538303479458,0,2,3,2,3,1,0,29.0
11,6,5,1.791759469228055,0,2,0,5,5,61,4.127134385045092,0,1,1,5,1,9,2.302585092994046,0,0,4,2,9,1,0,14.0
10,1,23,3.1780538303479458,0,2,3,2,3,16,2.833213344056216,1,1,1,2,6,13,2.6390573296152584,0,1,3,6,3,1,0,36.0
12,4,4,1.6094379124341003,1,1,4,4,4,64,4.174387269895637,1,1,4,1,4,18,2.9444389791664403,1,0,3,4,8,2,1,22.0
1,8,76,4.343805421853684,1,1,1,6,6,44,3.8066624897703196,1,2,4,2,4,6,1.9459101490553132,1,0,1,6,6,2,0,82.0
10,4,6,1.9459101490553132,1,0,1,6,6,63,4.1588830833596715,0,0,3,0,3,17,2.8903717578961645,0,2,2,3,7,1,0,23.0
3,9,29,3.4011973816621555,0,2,4,1,9,44,3.8066624897703196,1,2,4,2,4,11,2.4849066497880004,0,2,1,4,1,1,1,40.0
4,8,74,4.31748811353631,1,2,4,4,4,57,4.060443010546419,0,0,2,1,7,4,1.6094379124341003,1,1,4,4,4,1,0,78.0
2,9,42,3.7612001156935624,1,0,2,0,2,39,3.6888794541139363,0,0,4,4,9,11,2.4849066497880004,0,2,1,4,1,1,0,53.0
8,2,70,4.2626798770413155,1,1,0,0,0,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,7,2,77.0
9,5,17,2.8903717578961645,0,2,2,3,7,58,4.07753744390572,1,1,3,2,8,19,2.995732273553991,0,1,4,5,9,1,0,36.0
4,12,15,2.772588722239781,0,0,0,1,5,74,4.31748811353631,1,2,4,4,4,22,3.1354942159291497,1,1,2,1,2,1,0,37.0
5,7,51,3.9512437185814275,0,0,1,2,1,33,3.5263605246161616,0,0,3,5,3,1,0.6931471805599453,0,1,1,1,1,1,2,52.0
12,6,47,3.871201010907891,0,2,2,5,7,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,1,1,51.0
3,2,28,3.367295829986474,1,1,3,0,8,79,4.382026634673881,0,1,4,2,9,16,2.833213344056216,1,1,1,2,6,1,0,44.0
13,14,3,1.3862943611198906,0,0,3,3,3,36,3.6109179126442243,1,0,1,1,6,21,3.091042453358316,0,0,1,0,1,3,2,24.0
12,14,46,3.8501476017100584,1,1,1,4,6,18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,2,0,58.0
4,14,76,4.343805421853684,1,1,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,2,77.0
1,0,56,4.04305126783455,1,2,1,0,6,13,2.6390573296152584,0,1,3,6,3,21,3.091042453358316,0,0,1,0,1,1,0,77.0
14,14,29,3.4011973816621555,0,2,4,1,9,17,2.8903717578961645,0,2,2,3,7,9,2.302585092994046,0,0,4,2,9,1,0,38.0
7,9,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,2,2,66.0
11,8,76,4.343805421853684,1,1,1,6,6,74,4.31748811353631,1,2,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,2,77.0
6,11,64,4.174387269895637,1,1,4,1,4,47,3.871201010907891,0,2,2,5,7,18,2.9444389791664403,1,0,3,4,8,1,0,82.0
2,5,37,3.6375861597263857,0,1,2,2,7,80,4.394449154672439,1,2,0,3,0,11,2.4849066497880004,0,2,1,4,1,1,0,48.0
11,3,63,4.1588830833596715,0,0,3,0,3,49,3.912023005428146,0,1,4,0,9,23,3.1780538303479458,0,2,3,2,3,1,0,86.0
3,5,27,3.332204510175204,0,0,2,6,7,36,3.6109179126442243,1,0,1,1,6,22,3.1354942159291497,1,1,2,1,2,1,0,49.0
5,8,62,4.143134726391533,1,2,2,6,2,57,4.060443010546419,0,0,2,1,7,9,2.302585092994046,0,0,4,2,9,1,0,71.0
12,14,68,4.23410650459726,1,2,3,5,8,34,3.5553480614894135,1,1,4,6,4,18,2.9444389791664403,1,0,3,4,8,2,1,86.0
0,7,69,4.248495242049359,0,0,4,6,9,39,3.6888794541139363,0,0,4,4,9,10,2.3978952727983707,1,1,0,3,0,1,0,79.0
5,0,48,3.8918202981106265,1,0,3,6,8,52,3.970291913552122,1,1,2,3,2,11,2.4849066497880004,0,2,1,4,1,1,0,59.0
14,6,69,4.248495242049359,0,0,4,6,9,39,3.6888794541139363,0,0,4,4,9,20,3.044522437723423,1,2,0,6,0,1,0,89.0
6,0,59,4.0943445622221,0,2,4,3,9,76,4.343805421853684,1,1,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,0,66.0
5,12,74,4.31748811353631,1,2,4,4,4,31,3.4657359027997265,0,1,1,3,1,2,1.0986122886681098,1,2,2,2,2,1,1,76.0
4,6,62,4.143134726391533,1,2,2,6,2,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,0,0,3,3,3,1,0,65.0
11,0,69,4.248495242049359,0,0,4,6,9,30,3.4339872044851463,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,3,1,75.0
2,11,53,3.9889840465642745,0,2,3,4,3,16,2.833213344056216,1,1,1,2,6,25,3.258096538021482,0,1,0,4,5,1,0,78.0
4,0,4,1.6094379124341003,1,1,4,4,4,67,4.219507705176107,0,1,2,4,7,11,2.4849066497880004,0,2,1,4,1,1,0,15.0
8,12,47,3.871201010907891,0,2,2,5,7,19,2.995732273553991,0,1,4,5,9,17,2.8903717578961645,0,2,2,3,7,1,0,64.0
6,8,5,1.791759469228055,0,2,0,5,5,14,2.70805020110221,1,2,4,0,4,19,2.995732273553991,0,1,4,5,9,1,0,24.0
8,2,13,2.6390573296152584,0,1,3,6,3,73,4.30406509320417,0,1,3,3,3,9,2.302585092994046,0,0,4,2,9,1,0,22.0
9,0,44,3.8066624897703196,1,2,4,2,4,61,4.127134385045092,0,1,1,5,1,7,2.0794415416798357,0,1,2,0,7,1,0,51.0
1,7,61,4.127134385045092,0,1,1,5,1,31,3.4657359027997265,0,1,1,3,1,1,0.6931471805599453,0,1,1,1,1,1,2,62.0
11,2,19,2.995732273553991,0,1,4,5,9,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0,24.0
9,12,50,3.9318256327243257,1,2,0,1,0,49,3.912023005428146,0,1,4,0,9,8,2.1972245773362196,1,2,3,1,8,1,0,58.0
13,10,70,4.2626798770413155,1,1,0,0,0,15,2.772588722239781,0,0,0,1,5,11,2.4849066497880004,0,2,1,4,1,1,0,81.0
10,13,15,2.772588722239781,0,0,0,1,5,43,3.784189633918261,0,1,3,1,3,21,3.091042453358316,0,0,1,0,1,1,0,36.0
13,7,34,3.5553480614894135,1,1,4,6,4,31,3.4657359027997265,0,1,1,3,1,14,2.70805020110221,1,2,4,0,4,1,0,48.0
10,11,57,4.060443010546419,0,0,2,1,7,67,4.219507705176107,0,1,2,4,7,21,3.091042453358316,0,0,1,0,1,1,0,78.0
14,11,80,4.394449154672439,1,2,0,3,0,58,4.07753744390572,1,1,3,2,8,3,1.3862943611198906,0,0,3,3,3,1,0,83.0
10,2,72,4.290459441148391,1,0,2,2,2,54,4.007333185232471,1,0,4,5,4,25,3.258096538021482,0,1,0,4,5,1,0,97.0
3,6,29,3.4011973816621555,0,2,4,1,9,77,4.356708826689592,0,2,2,0,7,17,2.8903717578961645,0,2,2,3,7,1,0,46.0
0,5,52,3.970291913552122,1,1,2,3,2,76,4.343805421853684,1,1,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0,57.0
0,7,12,2.5649493574615367,1,0,2,5,2,61,4.127134385045092,0,1,1,5,1,15,2.772588722239781,0,0,0,1,5,1,0,27.0
3,9,75,4.330733340286331,0,0,0,5,5,12,2.5649493574615367,1,0,2,5,2,20,3.044522437723423,1,2,0,6,0,1,0,95.0
8,11,27,3.332204510175204,0,0,2,6,7,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,1,1,37.0
1,5,70,4.2626798770413155,1,1,0,0,0,11,2.4849066497880004,0,2,1,4,1,18,2.9444389791664403,1,0,3,4,8,1,0,88.0
14,13,49,3.912023005428146,0,1,4,0,9,18,2.9444389791664403,1,0,3,4,8,6,1.9459101490553132,1,0,1,6,6,1,1,55.0
11,2,44,3.8066624897703196,1,2,4,2,4,52,3.970291913552122,1,1,2,3,2,24,3.2188758248682006,1,0,4,3,4,4,0,68.0
0,14,26,3.295836866004329,1,2,1,5,6,56,4.04305126783455,1,2,1,0,6,18,2.9444389791664403,1,0,3,4,8,2,0,44.0
14,2,36,3.6109179126442243,1,0,1,1,6,55,4.02535169073515,0,1,0,6,5,9,2.302585092994046,0,0,4,2,9,1,1,45.0
9,12,34,3.5553480614894135,1,1,4,6,4,68,4.23410650459726,1,2,3,5,8,2,1.0986122886681098,1,2,2,2,2,2,3,36.0
2,2,57,4.060443010546419,0,0,2,1,7,35,3.58351893845611,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,1,1,62.0
0,7,21,3.091042453358316,0,0,1,0,1,54,4.007333185232471,1,0,4,5,4,18,2.9444389791664403,1,0,3,4,8,3,1,39.0
6,11,69,4.248495242049359,0,0,4,6,9,44,3.8066624897703196,1,2,4,2,4,8,2.1972245773362196,1,2,3,1,8,1,0,77.0
0,13,76,4.343805421853684,1,1,1,6,6,50,3.9318256327243257,1,2,0,1,0,13,2.6390573296152584,0,1,3,6,3,1,0,89.0
6,9,20,3.044522437723423,1,2,0,6,0,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,5,2,25.0
12,12,33,3.5263605246161616,0,0,3,5,3,60,4.110873864173311,1,0,0,4,0,18,2.9444389791664403,1,0,3,4,8,3,0,51.0
12,2,39,3.6888794541139363,0,0,4,4,9,54,4.007333185232471,1,0,4,5,4,18,2.9444389791664403,1,0,3,4,8,3,1,57.0
7,1,56,4.04305126783455,1,2,1,0,6,20,3.044522437723423,1,2,0,6,0,1,0.6931471805599453,0,1,1,1,1,1,2,57.0
6,12,72,4.290459441148391,1,0,2,2,2,61,4.127134385045092,0,1,1,5,1,5,1.791759469228055,0,2,0,5,5,1,0,77.0
3,0,20,3.044522437723423,1,2,0,6,0,80,4.394449154672439,1,2,0,3,0,5,1.791759469228055,0,2,0,5,5,5,3,25.0
10,8,23,3.1780538303479458,0,2,3,2,3,31,3.4657359027997265,0,1,1,3,1,9,2.302585092994046,0,0,4,2,9,1,0,32.0
9,5,51,3.9512437185814275,0,0,1,2,1,59,4.0943445622221,0,2,4,3,9,14,2.70805020110221,1,2,4,0,4,1,0,65.0
14,13,50,3.9318256327243257,1,2,0,1,0,51,3.9512437185814275,0,0,1,2,1,25,3.258096538021482,0,1,0,4,5,1,1,75.0
10,3,20,3.044522437723423,1,2,0,6,0,34,3.5553480614894135,1,1,4,6,4,15,2.772588722239781,0,0,0,1,5,1,0,35.0
0,9,36,3.6109179126442243,1,0,1,1,6,74,4.31748811353631,1,2,4,4,4,11,2.4849066497880004,0,2,1,4,1,1,0,47.0
5,4,70,4.2626798770413155,1,1,0,0,0,39,3.6888794541139363,0,0,4,4,9,23,3.1780538303479458,0,2,3,2,3,1,0,93.0
0,7,36,3.6109179126442243,1,0,1,1,6,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,1,0,59.0
0,13,56,4.04305126783455,1,2,1,0,6,29,3.4011973816621555,0,2,4,1,9,11,2.4849066497880004,0,2,1,4,1,1,0,67.0
