slot_name_r,slot_name_m,slot_name_a,slot_s_r,slot_s_r_abs_log1p,slot_s_r_is_even,slot_s_r_mod3,slot_s_r_mod5,slot_s_r_mod7,slot_s_r_mod10,slot_diff_m,slot_diff_m_abs_log1p,slot_diff_m_is_even,slot_diff_m_mod3,slot_diff_m_mod5,slot_diff_m_mod7,slot_diff_m_mod10,slot_diff_a,slot_diff_a_abs_log1p,slot_diff_a_is_even,slot_diff_a_mod3,slot_diff_a_mod5,slot_diff_a_mod7,slot_diff_a_mod10,slot_item_plural,slot_context,gcd_all,n_multiple_pairs,y
4,3,10,120,4.795790545596741,1,0,0,1,0,106,4.672828834461906,1,1,1,1,6,12,2.5649493574615367,1,0,2,5,2,0,5,2,1,242.0
26,19,19,49,3.912023005428146,0,1,4,0,9,36,3.6109179126442243,1,0,1,1,6,9,2.302585092994046,0,0,4,2,9,9,5,1,1,102.0
15,15,12,148,5.003946305945459,1,1,3,1,8,23,3.1780538303479458,0,2,3,2,3,130,4.875197323201151,1,1,0,4,0,8,9,1,0,291.0
12,2,20,97,4.584967478670572,0,1,2,6,7,77,4.356708826689592,0,2,2,0,7,34,3.5553480614894135,1,1,4,6,4,4,7,1,0,180.0
16,2,12,165,5.111987788356544,0,0,0,4,5,91,4.5217885770490405,0,1,1,0,1,28,3.367295829986474,1,1,3,0,8,3,2,1,0,376.0
19,10,12,100,4.61512051684126,1,1,0,2,0,68,4.23410650459726,1,2,3,5,8,51,3.9512437185814275,0,0,1,2,1,8,0,1,0,181.0
25,28,7,176,5.176149732573829,1,2,1,1,6,12,2.5649493574615367,1,0,2,5,2,106,4.672828834461906,1,1,1,1,6,5,3,2,0,410.0
3,9,9,148,5.003946305945459,1,1,3,1,8,39,3.6888794541139363,0,0,4,4,9,143,4.969813299576001,0,2,3,3,3,7,1,1,0,262.0
15,25,14,186,5.231108616854587,1,0,1,4,6,34,3.5553480614894135,1,1,4,6,4,5,1.791759469228055,0,2,0,5,5,1,4,1,0,519.0
17,13,3,133,4.897839799950911,0,1,3,0,3,5,1.791759469228055,0,2,0,5,5,120,4.795790545596741,1,0,0,1,0,10,3,1,1,274.0
2,11,28,32,3.4965075614664802,1,2,2,4,2,22,3.1354942159291497,1,1,2,1,2,29,3.4011973816621555,0,2,4,1,9,11,1,1,0,45.0
11,1,1,26,3.295836866004329,1,2,1,5,6,9,2.302585092994046,0,0,4,2,9,20,3.044522437723423,1,2,0,6,0,0,8,1,0,49.0
17,4,7,51,3.9512437185814275,0,0,1,2,1,22,3.1354942159291497,1,1,2,1,2,42,3.7612001156935624,1,0,2,0,2,8,1,1,0,89.0
2,3,8,81,4.406719247264253,0,0,1,4,1,78,4.3694478524670215,1,0,3,1,8,8,2.1972245773362196,1,2,3,1,8,10,6,1,0,157.0
2,4,6,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,18,2.9444389791664403,1,0,3,4,8,10,8,9,1,45.0
14,1,12,171,5.147494476813453,0,0,1,3,1,89,4.499809670330265,0,2,4,5,9,108,4.6913478822291435,1,0,3,3,8,10,2,1,0,316.0
18,1,16,158,5.0689042022202315,1,2,3,4,8,141,4.955827057601261,0,0,1,1,1,7,2.0794415416798357,0,1,2,0,7,3,5,1,0,326.0
23,28,11,172,5.153291594497779,1,1,2,4,2,25,3.258096538021482,0,1,0,4,5,64,4.174387269895637,1,1,4,1,4,4,5,1,0,427.0
26,3,13,159,5.075173815233827,0,0,4,5,9,49,3.912023005428146,0,1,4,0,9,94,4.553876891600541,1,1,4,3,4,3,9,1,0,334.0
8,6,24,52,3.970291913552122,1,1,2,3,2,9,2.302585092994046,0,0,4,2,9,27,3.332204510175204,0,0,2,6,7,8,6,1,1,120.0
26,12,28,148,5.003946305945459,1,1,3,1,8,46,3.8501476017100584,1,1,1,4,6,131,4.882801922586371,0,2,1,5,1,10,3,1,0,267.0
21,2,5,127,4.852030263919617,0,1,2,1,7,59,4.0943445622221,0,2,4,3,9,65,4.189654742026425,0,2,0,2,5,11,9,1,0,257.0
11,4,18,64,4.174387269895637,1,1,4,1,4,38,3.6635616461296463,1,2,3,3,8,47,3.871201010907891,0,2,2,5,7,11,0,1,0,107.0
3,20,25,73,4.30406509320417,0,1,3,3,3,19,2.995732273553991,0,1,4,5,9,34,3.5553480614894135,1,1,4,6,4,0,4,1,0,166.0
20,21,19,164,5.10594547390058,1,2,4,3,4,78,4.3694478524670215,1,0,3,1,8,109,4.700480365792417,0,1,4,4,9,4,6,1,0,305.0
8,25,14,49,3.912023005428146,0,1,4,0,9,42,3.7612001156935624,1,0,2,0,2,36,3.6109179126442243,1,0,1,1,6,4,5,1,0,69.0
28,21,25,173,5.159055299214529,0,2,3,5,3,78,4.3694478524670215,1,0,3,1,8,170,5.14166355650266,1,2,0,2,0,1,0,1,0,271.0
2,10,9,196,5.2832037287379885,1,1,1,0,6,194,5.272999558563747,1,2,4,5,4,159,5.075173815233827,0,0,4,5,9,3,9,1,0,235.0
28,25,27,83,4.430816798843313,0,2,3,6,3,67,4.219507705176107,0,1,2,4,7,55,4.02535169073515,0,1,0,6,5,0,6,1,0,127.0
13,10,23,136,4.919980925828125,1,1,1,3,6,80,4.394449154672439,1,2,0,3,0,17,2.8903717578961645,0,2,2,3,7,11,6,1,1,311.0
17,24,5,48,3.8918202981106265,1,0,3,6,8,45,3.828641396489095,0,0,0,3,5,21,3.091042453358316,0,0,1,0,1,7,8,3,0,78.0
27,3,17,140,4.948759890378168,1,2,0,0,0,23,3.1780538303479458,0,2,3,2,3,25,3.258096538021482,0,1,0,4,5,11,8,1,0,372.0
6,17,1,24,3.2188758248682006,1,0,4,3,4,10,2.3978952727983707,1,1,0,3,0,13,2.6390573296152584,0,1,3,6,3,10,6,1,0,49.0
18,16,22,56,4.04305126783455,1,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,43,3.784189633918261,0,1,3,1,3,0,6,1,1,118.0
15,28,24,150,5.017279836814924,1,0,0,3,0,121,4.804021044733257,0,1,1,2,1,107,4.68213122712422,0,2,2,2,7,8,8,1,0,222.0
25,28,20,25,3.258096538021482,0,1,0,4,5,18,2.9444389791664403,1,0,3,4,8,5,1.791759469228055,0,2,0,5,5,8,1,1,1,52.0
24,2,15,100,4.61512051684126,1,1,0,2,0,71,4.276666119016055,0,2,1,1,1,64,4.174387269895637,1,1,4,1,4,5,9,1,0,165.0
12,27,21,150,5.017279836814924,1,0,0,3,0,138,4.9344739331306915,1,0,3,5,8,90,4.51085950651685,1,0,0,6,0,7,2,6,0,222.0
20,15,5,154,5.043425116919247,1,1,4,0,4,102,4.634728988229636,1,0,2,4,2,34,3.5553480614894135,1,1,4,6,4,6,6,2,1,326.0
10,13,18,187,5.236441962829949,0,1,2,5,7,131,4.882801922586371,0,2,1,5,1,120,4.795790545596741,1,0,0,1,0,11,8,1,0,310.0
26,9,2,73,4.30406509320417,0,1,3,3,3,70,4.2626798770413155,1,1,0,0,0,54,4.007333185232471,1,0,4,5,4,0,8,1,0,95.0
23,13,21,167,5.123963979403259,0,2,2,6,7,25,3.258096538021482,0,1,0,4,5,138,4.9344739331306915,1,0,3,5,8,4,5,1,0,338.0
19,25,3,175,5.170483995038151,0,1,0,0,5,149,5.0106352940962555,0,2,4,2,9,110,4.709530201312334,1,2,0,5,0,2,2,1,0,266.0
1,3,19,172,5.153291594497779,1,1,2,4,2,62,4.143134726391533,1,2,2,6,2,11,2.4849066497880004,0,2,1,4,1,9,4,1,0,443.0
4,2,3,59,4.0943445622221,0,2,4,3,9,6,1.9459101490553132,1,0,1,6,6,38,3.6635616461296463,1,2,3,3,8,5,4,1,0,133.0
7,22,2,144,4.976733742420574,1,0,4,4,4,133,4.897839799950911,0,1,3,0,3,91,4.5217885770490405,0,1,1,0,1,6,4,1,0,208.0
17,23,23,33,3.5263605246161616,0,0,3,5,3,18,2.9444389791664403,1,0,3,4,8,17,2.8903717578961645,0,2,2,3,7,6,4,1,0,64.0
22,6,8,115,4.7535901911063645,0,1,0,3,5,66,4.204692619390966,1,0,1,3,6,76,4.343805421853684,1,1,1,6,6,7,1,1,0,203.0
17,24,18,34,3.5553480614894135,1,1,4,6,4,14,2.70805020110221,1,2,4,0,4,18,2.9444389791664403,1,0,3,4,8,3,1,2,0,70.0
13,7,27,46,3.8501476017100584,1,1,1,4,6,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,4,6,1,0,122.0
8,21,12,148,5.003946305945459,1,1,3,1,8,146,4.990432586778736,1,2,1,6,6,124,4.8283137373023015,1,1,4,5,4,3,8,2,0,174.0
9,16,7,33,3.5263605246161616,0,0,3,5,3,25,3.258096538021482,0,1,0,4,5,22,3.1354942159291497,1,1,2,1,2,7,6,1,0,52.0
14,10,21,155,5.049856007249537,0,2,0,1,5,146,4.990432586778736,1,2,1,6,6,92,4.532599493153256,1,2,2,1,2,5,2,1,0,227.0
11,2,25,190,5.25227342804663,1,1,0,1,0,52,3.970291913552122,1,1,2,3,2,144,4.976733742420574,1,0,4,4,4,3,2,2,0,374.0
26,0,19,111,4.718498871295094,0,0,1,6,1,57,4.060443010546419,0,0,2,1,7,62,4.143134726391533,1,2,2,6,2,2,8,1,0,214.0
21,15,4,167,5.123963979403259,0,2,2,6,7,86,4.465908118654584,1,2,1,2,6,158,5.0689042022202315,1,2,3,4,8,10,5,1,0,257.0
13,14,8,73,4.30406509320417,0,1,3,3,3,14,2.70805020110221,1,2,4,0,4,66,4.204692619390966,1,0,1,3,6,10,1,1,0,139.0
11,24,25,23,3.1780538303479458,0,2,3,2,3,11,2.4849066497880004,0,2,1,4,1,19,2.995732273553991,0,1,4,5,9,4,0,1,0,39.0
13,9,5,75,4.330733340286331,0,0,0,5,5,43,3.784189633918261,0,1,3,1,3,26,3.295836866004329,1,2,1,5,6,5,9,1,0,156.0
14,16,19,23,3.1780538303479458,0,2,3,2,3,21,3.091042453358316,0,0,1,0,1,7,2.0794415416798357,0,1,2,0,7,10,8,1,1,41.0
11,18,4,157,5.062595033026967,0,1,2,3,7,91,4.5217885770490405,0,1,1,0,1,112,4.727387818712341,1,1,2,0,2,0,6,1,0,268.0
9,10,13,132,4.890349128221754,1,0,2,6,2,126,4.844187086458591,1,0,1,0,6,26,3.295836866004329,1,2,1,5,6,3,5,2,0,244.0
17,21,15,29,3.4011973816621555,0,2,4,1,9,8,2.1972245773362196,1,2,3,1,8,7,2.0794415416798357,0,1,2,0,7,4,2,1,0,72.0
26,20,7,28,3.367295829986474,1,1,3,0,8,25,3.258096538021482,0,1,0,4,5,21,3.091042453358316,0,0,1,0,1,2,6,1,0,38.0
13,15,6,188,5.241747015059643,1,2,3,6,8,50,3.9318256327243257,1,2,0,1,0,144,4.976733742420574,1,0,4,4,4,0,3,2,0,370.0
17,12,8,168,5.1298987149230735,1,0,3,0,8,164,5.10594547390058,1,2,4,3,4,33,3.5263605246161616,0,0,3,5,3,10,5,1,0,307.0
2,12,3,179,5.19295685089021,0,2,4,4,9,175,5.170483995038151,0,1,0,0,5,122,4.812184355372417,1,2,2,3,2,5,5,1,0,240.0
5,25,24,197,5.288267030694535,0,2,2,1,7,137,4.927253685157205,0,2,2,4,7,41,3.7376696182833684,0,2,1,6,1,8,7,1,0,413.0
13,16,0,26,3.295836866004329,1,2,1,5,6,9,2.302585092994046,0,0,4,2,9,10,2.3978952727983707,1,1,0,3,0,8,4,1,0,59.0
18,7,23,73,4.30406509320417,0,1,3,3,3,36,3.6109179126442243,1,0,1,1,6,39,3.6888794541139363,0,0,4,4,9,0,8,1,0,144.0
26,17,12,60,4.110873864173311,1,0,0,4,0,23,3.1780538303479458,0,2,3,2,3,44,3.8066624897703196,1,2,4,2,4,3,5,1,0,113.0
14,6,22,164,5.10594547390058,1,2,4,3,4,152,5.030437921392435,1,2,2,5,2,62,4.143134726391533,1,2,2,6,2,2,8,2,0,278.0
4,10,18,79,4.382026634673881,0,1,4,2,9,51,3.9512437185814275,0,0,1,2,1,37,3.6375861597263857,0,1,2,2,7,10,2,1,0,149.0
0,25,18,180,5.198497031265826,1,0,0,5,0,31,3.4657359027997265,0,1,1,3,1,161,5.087596335232384,0,2,1,0,1,6,2,1,0,348.0
7,8,7,24,3.2188758248682006,1,0,4,3,4,21,3.091042453358316,0,0,1,0,1,20,3.044522437723423,1,2,0,6,0,9,4,1,0,31.0
24,10,27,96,4.574710978503383,1,0,1,5,6,9,2.302585092994046,0,0,4,2,9,43,3.784189633918261,0,1,3,1,3,0,2,1,0,236.0
25,25,14,179,5.19295685089021,0,2,4,4,9,23,3.1780538303479458,0,2,3,2,3,146,4.990432586778736,1,2,1,6,6,1,8,1,0,368.0
6,6,8,37,3.6375861597263857,0,1,2,2,7,17,2.8903717578961645,0,2,2,3,7,24,3.2188758248682006,1,0,4,3,4,2,6,1,0,70.0
26,20,28,55,4.02535169073515,0,1,0,6,5,19,2.995732273553991,0,1,4,5,9,34,3.5553480614894135,1,1,4,6,4,6,8,1,0,112.0
28,17,22,98,4.59511985013459,1,2,3,0,8,89,4.499809670330265,0,2,4,5,9,27,3.332204510175204,0,0,2,6,7,6,3,1,0,178.0
18,1,24,172,5.153291594497779,1,1,2,4,2,98,4.59511985013459,1,2,3,0,8,59,4.0943445622221,0,2,4,3,9,6,9,1,0,359.0
25,6,25,78,4.3694478524670215,1,0,3,1,8,43,3.784189633918261,0,1,3,1,3,32,3.4965075614664802,1,2,2,4,2,6,6,1,0,159.0
15,21,7,35,3.58351893845611,0,2,0,0,5,16,2.833213344056216,1,1,1,2,6,18,2.9444389791664403,1,0,3,4,8,7,1,1,0,71.0
9,15,24,198,5.293304824724492,1,0,3,2,8,185,5.225746673713202,0,2,0,3,5,110,4.709530201312334,1,2,0,5,0,11,7,1,0,299.0
26,6,9,189,5.247024072160486,0,0,4,0,9,90,4.51085950651685,1,0,0,6,0,65,4.189654742026425,0,2,0,2,5,7,1,1,0,412.0
24,0,10,189,5.247024072160486,0,0,4,0,9,30,3.4339872044851463,1,0,0,2,0,59,4.0943445622221,0,2,4,3,9,4,4,1,0,478.0
12,19,14,127,4.852030263919617,0,1,2,1,7,22,3.1354942159291497,1,1,2,1,2,43,3.784189633918261,0,1,3,1,3,8,7,1,0,316.0
15,10,0,111,4.718498871295094,0,0,1,6,1,6,1.9459101490553132,1,0,1,6,6,110,4.709530201312334,1,2,0,5,0,4,6,1,0,217.0
7,6,17,101,4.624972813284271,0,2,1,3,1,31,3.4657359027997265,0,1,1,3,1,14,2.70805020110221,1,2,4,0,4,7,5,1,0,258.0
10,5,22,195,5.278114659230517,0,0,0,6,5,45,3.828641396489095,0,0,0,3,5,180,5.198497031265826,1,0,0,5,0,10,0,15,1,360.0
14,5,25,44,3.8066624897703196,1,2,4,2,4,29,3.4011973816621555,0,2,4,1,9,34,3.5553480614894135,1,1,4,6,4,3,7,1,0,69.0
24,17,5,123,4.820281565605037,0,0,3,4,3,100,4.61512051684126,1,1,0,2,0,32,3.4965075614664802,1,2,2,4,2,0,5,1,0,237.0
19,15,10,191,5.2574953720277815,0,2,1,2,1,12,2.5649493574615367,1,0,2,5,2,109,4.700480365792417,0,1,4,4,9,9,8,1,0,452.0
1,1,4,147,4.997212273764115,0,0,2,0,7,85,4.454347296253507,0,1,0,1,5,139,4.941642422609304,0,1,4,6,9,1,2,1,0,217.0
26,8,4,136,4.919980925828125,1,1,1,3,6,53,3.9889840465642745,0,2,3,4,3,110,4.709530201312334,1,2,0,5,0,7,0,1,0,245.0
15,6,25,141,4.955827057601261,0,0,1,1,1,40,3.713572066704308,1,1,0,5,0,99,4.605170185988092,0,0,4,1,9,11,8,1,0,284.0
13,0,7,121,4.804021044733257,0,1,1,2,1,94,4.553876891600541,1,1,4,3,4,117,4.770684624465665,0,0,2,5,7,11,7,1,0,152.0
6,7,13,160,5.081404364984463,1,1,0,6,0,111,4.718498871295094,0,0,1,6,1,41,3.7376696182833684,0,2,1,6,1,3,4,1,0,328.0
5,0,20,97,4.584967478670572,0,1,2,6,7,82,4.418840607796598,1,1,2,5,2,16,2.833213344056216,1,1,1,2,6,6,7,1,0,193.0
28,9,7,46,3.8501476017100584,1,1,1,4,6,28,3.367295829986474,1,1,3,0,8,34,3.5553480614894135,1,1,4,6,4,10,6,2,0,76.0
19,5,8,183,5.214935757608986,0,0,3,1,3,83,4.430816798843313,0,2,3,6,3,77,4.356708826689592,0,2,2,0,7,0,0,1,0,389.0
26,13,14,46,3.8501476017100584,1,1,1,4,6,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,6,2,1,0,116.0
5,28,26,141,4.955827057601261,0,0,1,1,1,55,4.02535169073515,0,1,0,6,5,114,4.74493212836325,1,0,4,2,4,2,0,1,0,254.0
5,20,28,128,4.859812404361672,1,2,3,2,8,53,3.9889840465642745,0,2,3,4,3,96,4.574710978503383,1,0,1,5,6,6,1,1,0,235.0
19,4,9,94,4.553876891600541,1,1,4,3,4,92,4.532599493153256,1,2,2,1,2,80,4.394449154672439,1,2,0,3,0,5,2,2,0,110.0
22,24,3,142,4.962844630259907,1,1,2,2,2,133,4.897839799950911,0,1,3,0,3,71,4.276666119016055,0,2,1,1,1,6,2,1,1,222.0
12,12,4,182,5.209486152841421,1,2,2,0,2,120,4.795790545596741,1,0,0,1,0,107,4.68213122712422,0,2,2,2,7,4,8,1,0,319.0
6,8,19,58,4.07753744390572,1,1,3,2,8,27,3.332204510175204,0,0,2,6,7,16,2.833213344056216,1,1,1,2,6,0,5,1,0,131.0
7,19,10,158,5.0689042022202315,1,2,3,4,8,67,4.219507705176107,0,1,2,4,7,15,2.772588722239781,0,0,0,1,5,4,8,1,0,392.0
20,15,3,182,5.209486152841421,1,2,2,0,2,16,2.833213344056216,1,1,1,2,6,83,4.430816798843313,0,2,3,6,3,4,5,1,0,447.0
5,13,22,167,5.123963979403259,0,2,2,6,7,96,4.574710978503383,1,0,1,5,6,120,4.795790545596741,1,0,0,1,0,2,3,1,0,285.0
14,18,4,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,9,3,1,1,66.0
17,23,8,51,3.9512437185814275,0,0,1,2,1,29,3.4011973816621555,0,2,4,1,9,16,2.833213344056216,1,1,1,2,6,11,0,1,0,108.0
17,28,17,69,4.248495242049359,0,0,4,6,9,10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,3,8,1,0,186.0
5,25,26,181,5.204006687076795,0,1,1,6,1,159,5.075173815233827,0,0,4,5,9,122,4.812184355372417,1,2,2,3,2,9,0,1,0,262.0
2,25,28,84,4.442651256490317,1,0,4,0,4,46,3.8501476017100584,1,1,1,4,6,64,4.174387269895637,1,1,4,1,4,2,2,2,0,142.0
20,4,23,93,4.543294782270004,0,0,3,2,3,46,3.8501476017100584,1,1,1,4,6,89,4.499809670330265,0,2,4,5,9,1,5,1,0,144.0
13,3,11,159,5.075173815233827,0,0,4,5,9,146,4.990432586778736,1,2,1,6,6,60,4.110873864173311,1,0,0,4,0,0,2,1,0,271.0
19,9,7,20,3.044522437723423,1,2,0,6,0,16,2.833213344056216,1,1,1,2,6,15,2.772588722239781,0,0,0,1,5,5,0,1,0,29.0
14,1,23,173,5.159055299214529,0,2,3,5,3,52,3.970291913552122,1,1,2,3,2,5,1.791759469228055,0,2,0,5,5,7,2,1,0,462.0
24,23,16,106,4.672828834461906,1,1,1,1,6,6,1.9459101490553132,1,0,1,6,6,14,2.70805020110221,1,2,4,0,4,5,6,2,0,298.0
14,25,25,112,4.727387818712341,1,1,2,0,2,69,4.248495242049359,0,0,4,6,9,6,1.9459101490553132,1,0,1,6,6,3,0,1,0,261.0
18,9,28,107,4.68213122712422,0,2,2,2,7,69,4.248495242049359,0,0,4,6,9,26,3.295836866004329,1,2,1,5,6,11,0,1,0,226.0
18,3,24,46,3.8501476017100584,1,1,1,4,6,7,2.0794415416798357,0,1,2,0,7,25,3.258096538021482,0,1,0,4,5,1,4,1,0,106.0
25,20,26,145,4.983606621708336,0,1,0,5,5,61,4.127134385045092,0,1,1,5,1,76,4.343805421853684,1,1,1,6,6,5,1,1,0,298.0
7,21,4,195,5.278114659230517,0,0,0,6,5,40,3.713572066704308,1,1,0,5,0,138,4.9344739331306915,1,0,3,5,8,6,0,1,0,407.0
13,3,9,63,4.1588830833596715,0,0,3,0,3,51,3.9512437185814275,0,0,1,2,1,51,3.9512437185814275,0,0,1,2,1,3,0,3,1,87.0
14,12,11,92,4.532599493153256,1,2,2,1,2,71,4.276666119016055,0,2,1,1,1,52,3.970291913552122,1,1,2,3,2,9,6,1,0,153.0
11,10,7,165,5.111987788356544,0,0,0,4,5,89,4.499809670330265,0,2,4,5,9,50,3.9318256327243257,1,2,0,1,0,6,7,1,0,356.0
1,25,9,196,5.2832037287379885,1,1,1,0,6,80,4.394449154672439,1,2,0,3,0,38,3.6635616461296463,1,2,3,3,8,8,3,2,0,470.0
22,15,1,166,5.117993812416755,1,1,1,5,6,53,3.9889840465642745,0,2,3,4,3,13,2.6390573296152584,0,1,3,6,3,5,4,1,0,432.0
28,18,21,20,3.044522437723423,1,2,0,6,0,17,2.8903717578961645,0,2,2,3,7,19,2.995732273553991,0,1,4,5,9,0,9,1,0,24.0
7,7,28,49,3.912023005428146,0,1,4,0,9,21,3.091042453358316,0,0,1,0,1,39,3.6888794541139363,0,0,4,4,9,3,9,1,0,87.0
9,3,9,153,5.0369526024136295,0,0,3,6,3,50,3.9318256327243257,1,2,0,1,0,83,4.430816798843313,0,2,3,6,3,0,2,1,0,326.0
10,1,22,92,4.532599493153256,1,2,2,1,2,84,4.442651256490317,1,0,4,0,4,44,3.8066624897703196,1,2,4,2,4,2,6,4,0,148.0
20,26,21,115,4.7535901911063645,0,1,0,3,5,87,4.477336814478207,0,0,2,3,7,34,3.5553480614894135,1,1,4,6,4,11,2,1,0,224.0
26,22,5,92,4.532599493153256,1,2,2,1,2,62,4.143134726391533,1,2,2,6,2,7,2.0794415416798357,0,1,2,0,7,6,2,1,0,207.0
21,25,27,200,5.303304908059076,1,2,0,4,0,145,4.983606621708336,0,1,0,5,5,24,3.2188758248682006,1,0,4,3,4,11,5,1,0,431.0
0,27,20,115,4.7535901911063645,0,1,0,3,5,14,2.70805020110221,1,2,4,0,4,35,3.58351893845611,0,2,0,0,5,8,0,1,0,296.0
28,8,23,179,5.19295685089021,0,2,4,4,9,72,4.290459441148391,1,0,2,2,2,156,5.056245805348308,1,0,1,2,6,8,4,1,0,309.0
13,20,28,192,5.262690188904886,1,0,2,3,2,153,5.0369526024136295,0,0,3,6,3,129,4.867534450455582,0,0,4,3,9,7,5,3,0,294.0
28,13,3,39,3.6888794541139363,0,0,4,4,9,38,3.6635616461296463,1,2,3,3,8,25,3.258096538021482,0,1,0,4,5,2,8,1,0,54.0
6,1,7,53,3.9889840465642745,0,2,3,4,3,23,3.1780538303479458,0,2,3,2,3,47,3.871201010907891,0,2,2,5,7,4,2,1,0,89.0
6,20,25,96,4.574710978503383,1,0,1,5,6,86,4.465908118654584,1,2,1,2,6,90,4.51085950651685,1,0,0,6,0,8,1,2,0,112.0
8,5,20,198,5.293304824724492,1,0,3,2,8,194,5.272999558563747,1,2,4,5,4,43,3.784189633918261,0,1,3,1,3,6,4,1,0,357.0
13,2,1,96,4.574710978503383,1,0,1,5,6,71,4.276666119016055,0,2,1,1,1,26,3.295836866004329,1,2,1,5,6,6,4,1,0,191.0
1,7,18,82,4.418840607796598,1,1,2,5,2,52,3.970291913552122,1,1,2,3,2,13,2.6390573296152584,0,1,3,6,3,6,1,1,1,181.0
2,5,9,64,4.174387269895637,1,1,4,1,4,33,3.5263605246161616,0,0,3,5,3,54,4.007333185232471,1,0,4,5,4,8,3,1,0,105.0
8,25,6,86,4.465908118654584,1,2,1,2,6,83,4.430816798843313,0,2,3,6,3,62,4.143134726391533,1,2,2,6,2,4,8,1,0,113.0
17,12,19,165,5.111987788356544,0,0,0,4,5,85,4.454347296253507,0,1,0,1,5,136,4.919980925828125,1,1,1,3,6,4,1,1,0,274.0
2,12,1,186,5.231108616854587,1,0,1,4,6,20,3.044522437723423,1,2,0,6,0,114,4.74493212836325,1,0,4,2,4,1,4,2,0,424.0
24,2,15,38,3.6635616461296463,1,2,3,3,8,13,2.6390573296152584,0,1,3,6,3,5,1.791759469228055,0,2,0,5,5,9,5,1,0,96.0
16,17,11,194,5.272999558563747,1,2,4,5,4,45,3.828641396489095,0,0,0,3,5,64,4.174387269895637,1,1,4,1,4,9,4,1,0,473.0
19,13,7,36,3.6109179126442243,1,0,1,1,6,31,3.4657359027997265,0,1,1,3,1,24,3.2188758248682006,1,0,4,3,4,7,6,1,0,53.0
9,18,19,135,4.912654885736052,0,0,0,2,5,21,3.091042453358316,0,0,1,0,1,109,4.700480365792417,0,1,4,4,9,4,3,1,0,275.0
23,12,15,90,4.51085950651685,1,0,0,6,0,79,4.382026634673881,0,1,4,2,9,89,4.499809670330265,0,2,4,5,9,9,6,1,0,102.0
11,13,0,168,5.1298987149230735,1,0,3,0,8,138,4.9344739331306915,1,0,3,5,8,14,2.70805020110221,1,2,4,0,4,1,6,2,1,352.0
15,0,15,30,3.4339872044851463,1,0,0,2,0,9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,0,8,1,0,64.0
6,3,6,116,4.762173934797756,1,2,1,4,6,114,4.74493212836325,1,0,4,2,4,60,4.110873864173311,1,0,0,4,0,5,7,2,0,174.0
14,16,19,165,5.111987788356544,0,0,0,4,5,41,3.7376696182833684,0,2,1,6,1,47,3.871201010907891,0,2,2,5,7,4,4,1,0,407.0
21,17,20,101,4.624972813284271,0,2,1,3,1,95,4.564348191467836,0,2,0,4,5,44,3.8066624897703196,1,2,4,2,4,7,3,1,0,164.0
11,14,2,92,4.532599493153256,1,2,2,1,2,79,4.382026634673881,0,1,4,2,9,20,3.044522437723423,1,2,0,6,0,9,1,1,0,177.0
27,10,19,61,4.127134385045092,0,1,1,5,1,40,3.713572066704308,1,1,0,5,0,42,3.7612001156935624,1,0,2,0,2,1,6,1,0,101.0
4,6,8,107,4.68213122712422,0,2,2,2,7,61,4.127134385045092,0,1,1,5,1,85,4.454347296253507,0,1,0,1,5,0,7,1,0,175.0
19,25,12,189,5.247024072160486,0,0,4,0,9,65,4.189654742026425,0,2,0,2,5,121,4.804021044733257,0,1,1,2,1,9,1,1,0,381.0
20,7,24,140,4.948759890378168,1,2,0,0,0,94,4.553876891600541,1,1,4,3,4,21,3.091042453358316,0,0,1,0,1,7,2,1,0,305.0
9,25,16,137,4.927253685157205,0,2,2,4,7,67,4.219507705176107,0,1,2,4,7,121,4.804021044733257,0,1,1,2,1,7,0,1,0,223.0
25,20,21,134,4.90527477843843,1,2,4,1,4,119,4.787491742782046,0,2,4,0,9,48,3.8918202981106265,1,0,3,6,8,7,4,1,0,235.0
26,23,16,148,5.003946305945459,1,1,3,1,8,110,4.709530201312334,1,2,0,5,0,118,4.77912349311153,1,1,3,6,8,2,7,2,0,216.0
11,20,12,107,4.68213122712422,0,2,2,2,7,15,2.772588722239781,0,0,0,1,5,30,3.4339872044851463,1,0,0,2,0,2,1,1,1,276.0
5,23,4,54,4.007333185232471,1,0,4,5,4,49,3.912023005428146,0,1,4,0,9,51,3.9512437185814275,0,0,1,2,1,8,4,1,0,62.0
26,25,25,200,5.303304908059076,1,2,0,4,0,117,4.770684624465665,0,0,2,5,7,136,4.919980925828125,1,1,1,3,6,8,2,1,0,347.0
2,3,16,193,5.267858159063328,0,1,3,4,3,51,3.9512437185814275,0,0,1,2,1,151,5.0238805208462765,0,1,1,4,1,3,8,1,0,377.0
