slot_a_real,slot_a_real_abs_log1p,slot_a_real_is_even,slot_a_real_mod3,slot_a_real_mod5,slot_a_real_mod7,slot_a_real_mod10,slot_a_imag,slot_a_imag_abs_log1p,slot_a_imag_is_even,slot_a_imag_mod3,slot_a_imag_mod5,slot_a_imag_mod7,slot_a_imag_mod10,slot_b_real,slot_b_real_abs_log1p,slot_b_real_sign,slot_b_real_is_even,slot_b_real_mod3,slot_b_real_mod5,slot_b_real_mod7,slot_b_real_mod10,slot_b_imag,slot_b_imag_abs_log1p,slot_b_imag_sign,slot_b_imag_is_even,slot_b_imag_mod3,slot_b_imag_mod5,slot_b_imag_mod7,slot_b_imag_mod10,slot_radius,slot_radius_abs_log1p,slot_radius_is_even,slot_radius_mod3,slot_radius_mod5,slot_radius_mod7,slot_radius_mod10,gcd_all,n_multiple_pairs,y
67,4.219507705176107,0,1,2,4,7,39,3.6888794541139363,0,0,4,4,9,-1918,7.5595594960077,-1,1,2,2,0,2,5187,8.554103545436334,1,0,0,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,3,507.0
29,3.4011973816621555,0,2,4,1,9,122,4.812184355372417,1,2,2,3,2,-4880,8.493105395887147,-1,1,1,0,6,0,-5632,8.636397438894713,-1,1,2,3,3,8,8,2.1972245773362196,1,2,3,1,8,1,3,1722.0
86,4.465908118654584,1,2,1,2,6,17,2.8903717578961645,0,2,2,3,7,-10152,9.225524507301223,-1,1,0,3,5,8,21192,9.961426217456575,1,1,0,2,3,2,6,1.9459101490553132,1,0,1,6,6,1,2,3626.0
44,3.8066624897703196,1,2,4,2,4,75,4.330733340286331,0,0,0,5,5,5680,8.644882552557126,1,1,1,0,3,0,-37300,10.526775414924009,-1,1,2,0,3,0,10,2.3978952727983707,1,1,0,3,0,1,2,4592.0
130,4.875197323201151,1,1,0,4,0,58,4.07753744390572,1,1,3,2,8,-10535,9.262553243423117,-1,0,1,0,0,5,12838,9.460242692591084,1,1,1,3,0,8,7,2.0794415416798357,0,1,2,0,7,1,2,1547.0
40,3.713572066704308,1,1,0,5,0,104,4.653960350157523,1,2,4,6,4,704,6.558197802812269,1,1,2,4,4,4,-1204,7.094234845924755,-1,1,2,1,0,6,2,1.0986122886681098,1,2,2,2,2,2,4,918.0
103,4.6443908991413725,0,1,3,5,3,129,4.867534450455582,0,0,4,3,9,-21940,9.99611231164195,-1,1,2,0,5,0,-21050,9.954703343920398,-1,1,1,0,6,0,10,2.3978952727983707,1,1,0,3,0,1,2,3589.0
14,2.70805020110221,1,2,4,0,4,111,4.718498871295094,0,0,1,6,1,-3960,8.284251797621916,-1,1,0,0,2,0,14076,9.552297538827965,1,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,1,2,1776.0
144,4.976733742420574,1,0,4,4,4,53,3.9889840465642745,0,2,3,4,3,1728,7.455298485683291,1,1,0,3,6,8,-12963,9.469931564261438,-1,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,1,4,4592.0
63,4.1588830833596715,0,0,3,0,3,125,4.836281906951478,0,2,0,6,5,543,6.298949246855942,1,0,0,3,4,3,3789,8.240121298076472,1,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,3,962.0
106,4.672828834461906,1,1,1,1,6,86,4.465908118654584,1,2,1,2,6,-5940,8.689632748355741,-1,1,0,0,3,0,13430,9.505320746909074,1,1,2,0,4,0,5,1.791759469228055,0,2,0,5,5,1,2,2350.0
124,4.8283137373023015,1,1,4,5,4,37,3.6375861597263857,0,1,2,2,7,-300,5.707110264748875,-1,1,0,0,1,0,6175,8.728426091704613,1,0,1,0,1,5,5,1.791759469228055,0,2,0,5,5,1,2,1190.0
134,4.90527477843843,1,2,4,1,4,54,4.007333185232471,1,0,4,5,4,-10736,9.281450999434135,-1,1,1,4,2,4,576,6.3578422665081,1,1,0,1,2,6,8,2.1972245773362196,1,2,3,1,8,2,2,450.0
32,3.4965075614664802,1,2,2,4,2,147,4.997212273764115,0,0,2,0,7,-8380,9.033722518098907,-1,1,2,0,6,0,32460,10.38779464774131,1,1,0,0,1,0,10,2.3978952727983707,1,1,0,3,0,1,2,1850.0
116,4.762173934797756,1,2,1,4,6,92,4.532599493153256,1,2,2,1,2,-4932,8.503702601233739,-1,1,0,3,3,8,6672,8.805824812903607,1,1,0,2,1,2,6,1.9459101490553132,1,0,1,6,6,2,2,574.0
133,4.897839799950911,0,1,3,0,3,74,4.31748811353631,1,2,4,4,4,8883,9.092007185014317,1,0,0,3,0,3,-12544,9.437077458800523,-1,1,2,1,0,6,7,2.0794415416798357,0,1,2,0,7,1,3,3190.0
52,3.970291913552122,1,1,2,3,2,15,2.772588722239781,0,0,0,1,5,-5131,8.543250725735527,-1,0,2,4,0,9,-10745,9.282288871288767,-1,0,1,0,0,5,7,2.0794415416798357,0,1,2,0,7,1,2,1681.0
10,2.3978952727983707,1,1,0,3,0,61,4.127134385045092,0,1,1,5,1,3692,8.214194414852564,1,1,2,2,3,2,-16144,9.689365683192376,-1,1,2,1,5,6,4,1.6094379124341003,1,1,4,4,4,1,2,4387.0
93,4.543294782270004,0,0,3,2,3,128,4.859812404361672,1,2,3,2,8,-5094,8.536014945656826,-1,1,0,1,2,6,2280,7.732369222284388,1,1,0,0,5,0,6,1.9459101490553132,1,0,1,6,6,1,2,485.0
34,3.5553480614894135,1,1,4,6,4,115,4.7535901911063645,0,1,0,3,5,-174,5.1647859739235145,-1,1,0,1,1,6,1620,7.390798521735676,1,1,0,0,3,0,6,1.9459101490553132,1,0,1,6,6,1,2,455.0
52,3.970291913552122,1,1,2,3,2,19,2.995732273553991,0,1,4,5,9,666,6.502790045915623,1,1,0,1,1,6,-3717,8.220941168281389,-1,0,0,3,0,3,3,1.3862943611198906,0,0,3,3,3,1,2,1350.0
26,3.295836866004329,1,2,1,5,6,76,4.343805421853684,1,1,1,6,6,-3008,8.009363076630045,-1,1,1,2,2,2,256,5.54907608489522,1,1,1,1,4,6,8,2.1972245773362196,1,2,3,1,8,2,2,600.0
100,4.61512051684126,1,1,0,2,0,131,4.882801922586371,0,2,1,5,1,605,6.406879986069314,1,0,2,0,3,5,17075,9.745429247877853,1,0,2,0,2,5,5,1.791759469228055,0,2,0,5,5,1,3,2829.0
87,4.477336814478207,0,0,2,3,7,33,3.5263605246161616,0,0,3,5,3,-5040,8.525359754082631,-1,1,0,0,0,0,3732,8.224967478914584,1,1,0,2,1,2,6,1.9459101490553132,1,0,1,6,6,3,2,530.0
37,3.6375861597263857,0,1,2,2,7,103,4.6443908991413725,0,1,3,5,3,3710,8.219056661060598,1,1,2,0,0,0,-18025,9.799570439116355,-1,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,1,3,4223.0
42,3.7612001156935624,1,0,2,0,2,148,5.003946305945459,1,1,3,1,8,-20322,9.919508528590306,-1,1,0,3,6,8,29754,10.300752464078952,1,1,0,4,4,4,9,2.302585092994046,0,0,4,2,9,1,2,2726.0
66,4.204692619390966,1,0,1,3,6,11,2.4849066497880004,0,2,1,4,1,-10575,9.266342562091468,-1,0,0,0,2,5,18819,9.842675413139371,1,0,0,4,3,9,9,2.302585092994046,0,0,4,2,9,1,3,2075.0
20,3.044522437723423,1,2,0,6,0,89,4.499809670330265,0,2,4,5,9,-1020,6.928537818164665,-1,1,0,0,2,0,3104,8.040768994367578,1,1,2,4,3,4,4,1.6094379124341003,1,1,4,4,4,1,4,455.0
144,4.976733742420574,1,0,4,4,4,53,3.9889840465642745,0,2,3,4,3,216,5.37989735354046,1,1,0,1,6,6,-2358,7.765993079407675,-1,1,0,2,1,2,3,1.3862943611198906,0,0,3,3,3,1,3,1071.0
124,4.8283137373023015,1,1,4,5,4,97,4.584967478670572,0,1,2,6,7,296,5.6937321388027,1,1,2,1,2,6,3908,8.271036865792954,1,1,2,3,2,8,2,1.0986122886681098,1,2,2,2,2,1,3,1804.0
56,4.04305126783455,1,2,1,0,6,56,4.04305126783455,1,2,1,0,6,-602,6.401917196727186,-1,1,1,3,0,8,-6776,8.821289805136113,-1,1,1,4,0,4,7,2.0794415416798357,0,1,2,0,7,7,7,1394.0
32,3.4965075614664802,1,2,2,4,2,73,4.30406509320417,0,1,3,3,3,-441,6.091309882077698,-1,0,0,4,0,9,453,6.118097198041348,1,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,1,2,85.0
71,4.276666119016055,0,2,1,1,1,52,3.970291913552122,1,1,2,3,2,-12700,9.44943600950432,-1,1,2,0,5,0,-14000,9.546884034617925,-1,1,1,0,0,0,10,2.3978952727983707,1,1,0,3,0,1,2,2000.0
12,2.5649493574615367,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,-4048,8.30622521603216,-1,1,2,2,5,2,-4108,8.32093496888341,-1,1,2,2,1,2,2,1.0986122886681098,1,2,2,2,2,1,4,2900.0
80,4.394449154672439,1,2,0,3,0,111,4.718498871295094,0,0,1,6,1,-6780,8.821879862683842,-1,1,0,0,3,0,-5364,8.587651655064798,-1,1,0,1,5,6,3,1.3862943611198906,0,0,3,3,3,1,3,2929.0
63,4.1588830833596715,0,0,3,0,3,120,4.795790545596741,1,0,0,1,0,-7950,8.981052985901483,-1,1,0,0,2,0,9800,9.19023970026918,1,1,2,0,0,0,10,2.3978952727983707,1,1,0,3,0,1,3,275.0
101,4.624972813284271,0,2,1,3,1,12,2.5649493574615367,1,0,2,5,2,3276,8.094683648698815,1,1,0,1,0,6,-19728,9.889844913494969,-1,1,0,2,5,2,6,1.9459101490553132,1,0,1,6,6,1,5,3552.0
47,3.871201010907891,0,2,2,5,7,133,4.897839799950911,0,1,3,0,3,1795,7.493317248862145,1,0,1,0,3,5,16525,9.71269017726113,1,0,1,0,5,5,5,1.791759469228055,0,2,0,5,5,1,2,2706.0
118,4.77912349311153,1,1,3,6,8,25,3.258096538021482,0,1,0,4,5,-5436,8.600982717145921,-1,1,0,4,3,4,-684,6.529418838262226,-1,1,0,1,2,6,6,1.9459101490553132,1,0,1,6,6,1,2,330.0
29,3.4011973816621555,0,2,4,1,9,46,3.8501476017100584,1,1,1,4,6,546,6.304448802421981,1,1,0,1,0,6,-2160,7.6783263565068856,-1,1,0,0,3,0,6,1.9459101490553132,1,0,1,6,6,1,2,689.0
65,4.189654742026425,0,2,0,2,5,113,4.736198448394496,0,2,3,1,3,-4200,8.343077871169383,-1,1,0,0,0,0,16820,9.730383384791782,1,1,2,0,6,0,10,2.3978952727983707,1,1,0,3,0,1,2,598.0
26,3.295836866004329,1,2,1,5,6,113,4.736198448394496,0,2,3,1,3,-6360,8.757940876678804,-1,1,0,0,3,0,18350,9.817439347910675,1,1,2,0,3,0,10,2.3978952727983707,1,1,0,3,0,1,2,799.0
96,4.574710978503383,1,0,1,5,6,67,4.219507705176107,0,1,2,4,7,384,5.953243334287785,1,1,0,4,6,4,-4788,8.47407690034261,-1,1,0,2,0,2,6,1.9459101490553132,1,0,1,6,6,1,4,1360.0
91,4.5217885770490405,0,1,1,0,1,19,2.995732273553991,0,1,4,5,9,-3304,8.103191752285786,-1,1,2,1,0,6,-7424,8.9126079636709,-1,1,1,1,3,6,8,2.1972245773362196,1,2,3,1,8,1,2,1125.0
132,4.890349128221754,1,0,2,6,2,99,4.605170185988092,0,0,4,1,9,-3178,8.064321960910803,-1,1,2,2,0,2,-3045,8.021584533455107,-1,0,0,0,0,5,7,2.0794415416798357,0,1,2,0,7,1,2,1222.0
108,4.6913478822291435,1,0,3,3,8,43,3.784189633918261,0,1,3,1,3,-2540,7.840312983320164,-1,1,1,0,1,0,-24020,10.086683726740743,-1,1,1,0,4,0,10,2.3978952727983707,1,1,0,3,0,1,2,2950.0
16,2.833213344056216,1,1,1,2,6,63,4.1588830833596715,0,0,3,0,3,5016,8.520587424484253,1,1,0,1,4,6,5985,8.697178688412643,1,0,0,0,0,5,3,1.3862943611198906,0,0,3,3,3,1,4,2494.0
112,4.727387818712341,1,1,2,0,2,69,4.248495242049359,0,0,4,6,9,6588,8.793156870913819,1,1,0,3,1,8,22032,10.000296608464188,1,1,0,2,3,2,9,2.302585092994046,0,0,4,2,9,1,2,2523.0
19,2.995732273553991,0,1,4,5,9,61,4.127134385045092,0,1,1,5,1,1169,7.064759027791802,1,0,2,4,0,9,189,5.247024072160486,1,0,0,4,0,9,7,2.0794415416798357,0,1,2,0,7,1,2,500.0
114,4.74493212836325,1,0,4,2,4,99,4.605170185988092,0,0,4,1,9,-7236,8.886962034866128,-1,1,0,4,2,4,5355,8.585972706811063,1,0,0,0,0,5,9,2.302585092994046,0,0,4,2,9,3,3,370.0
38,3.6635616461296463,1,2,3,3,8,93,4.543294782270004,0,0,3,2,3,-1322,7.187657164114956,-1,1,1,3,1,8,5572,8.625688787569537,1,1,1,2,0,2,2,1.0986122886681098,1,2,2,2,2,1,3,2665.0
22,3.1354942159291497,1,1,2,1,2,49,3.912023005428146,0,1,4,0,9,2250,7.719129840906732,1,1,0,0,3,0,-3591,8.18646442942209,-1,0,0,4,0,9,9,2.302585092994046,0,0,4,2,9,1,2,952.0
149,5.0106352940962555,0,2,4,2,9,80,4.394449154672439,1,2,0,3,0,174,5.1647859739235145,1,1,0,4,6,4,4356,8.379539026117442,1,1,0,1,2,6,3,1.3862943611198906,0,0,3,3,3,1,2,1313.0
143,4.969813299576001,0,2,3,3,3,130,4.875197323201151,1,1,0,4,0,-22407,10.017173316939944,-1,0,0,3,0,3,-9800,9.19023970026918,-1,1,1,0,0,0,7,2.0794415416798357,0,1,2,0,7,1,2,3190.0
146,4.990432586778736,1,2,1,6,6,98,4.59511985013459,1,2,3,0,8,-720,6.580639137284949,-1,1,0,0,1,0,90,4.51085950651685,1,1,0,0,6,0,3,1.3862943611198906,0,0,3,3,3,1,3,330.0
131,4.882801922586371,0,2,1,5,1,88,4.48863636973214,1,1,3,4,8,100,4.61512051684126,1,1,1,0,2,0,47300,10.764286715905591,1,1,2,0,1,0,10,2.3978952727983707,1,1,0,3,0,1,3,4070.0
78,4.3694478524670215,1,0,3,1,8,26,3.295836866004329,1,2,1,5,6,-9534,9.16272451803452,-1,1,0,1,0,6,17934,9.794509389966382,1,1,0,4,0,4,7,2.0794415416798357,0,1,2,0,7,1,3,2516.0
73,4.30406509320417,0,1,3,3,3,97,4.584967478670572,0,1,2,6,7,9163,9.123038043573386,1,0,1,3,0,3,-8624,9.062420241899561,-1,1,1,1,0,6,7,2.0794415416798357,0,1,2,0,7,1,2,2639.0
34,3.5553480614894135,1,1,4,6,4,134,4.90527477843843,1,2,4,1,4,4000,8.294299608857235,1,1,1,0,3,0,21170,9.96038759966894,1,1,2,0,2,0,10,2.3978952727983707,1,1,0,3,0,2,2,1073.0
88,4.48863636973214,1,1,3,4,8,92,4.532599493153256,1,2,2,1,2,2448,7.803435056952168,1,1,0,3,5,8,-2574,7.853604813097837,-1,1,0,1,2,6,3,1.3862943611198906,0,0,3,3,3,1,2,1566.0
138,4.9344739331306915,1,0,3,5,8,12,2.5649493574615367,1,0,2,5,2,-14336,9.570598887246268,-1,1,1,4,0,4,-9552,9.164610520270008,-1,1,0,3,3,8,8,2.1972245773362196,1,2,3,1,8,2,3,1462.0
24,3.2188758248682006,1,0,4,3,4,133,4.897839799950911,0,1,3,0,3,-231,5.44673737166631,-1,0,0,4,0,9,8785,9.080914824535725,1,0,1,0,0,5,7,2.0794415416798357,0,1,2,0,7,1,3,351.0
77,4.356708826689592,0,2,2,0,7,115,4.7535901911063645,0,1,0,3,5,-5068,8.53089883847235,-1,1,2,2,0,2,5458,8.605020901781758,1,1,1,3,5,8,2,1.0986122886681098,1,2,2,2,2,1,2,3451.0
118,4.77912349311153,1,1,3,6,8,14,2.70805020110221,1,2,4,0,4,-9232,9.130539301772627,-1,1,2,3,1,8,-3136,8.051022208190679,-1,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,2,3,546.0
132,4.890349128221754,1,0,2,6,2,101,4.624972813284271,0,2,1,3,1,-14440,9.577826662126565,-1,1,2,0,1,0,-14080,9.552581649917311,-1,1,2,0,4,0,8,2.1972245773362196,1,2,3,1,8,1,2,2675.0
36,3.6109179126442243,1,0,1,1,6,82,4.418840607796598,1,1,2,5,2,630,6.447305862541213,1,1,0,0,0,0,7210,8.88336291691676,1,1,1,0,0,0,7,2.0794415416798357,0,1,2,0,7,1,2,570.0
119,4.787491742782046,0,2,4,0,9,15,2.772588722239781,0,0,0,1,5,-9260,9.13356731317027,-1,1,1,0,1,0,9200,9.127067452782361,1,1,2,0,2,0,10,2.3978952727983707,1,1,0,3,0,1,2,814.0
82,4.418840607796598,1,1,2,5,2,65,4.189654742026425,0,2,0,2,5,-5680,8.644882552557126,-1,1,2,0,4,0,-2140,7.669028288589683,-1,1,2,0,2,0,10,2.3978952727983707,1,1,0,3,0,1,2,900.0
42,3.7612001156935624,1,0,2,0,2,147,4.997212273764115,0,0,2,0,7,-16600,9.717218213494077,-1,1,2,0,4,0,1680,7.427144133408616,1,1,0,0,0,0,10,2.3978952727983707,1,1,0,3,0,1,3,1798.0
43,3.784189633918261,0,1,3,1,3,127,4.852030263919617,0,1,2,1,7,1044,6.951772164398911,1,1,0,4,1,4,9432,9.151969458649853,1,1,0,2,3,2,6,1.9459101490553132,1,0,1,6,6,1,2,918.0
132,4.890349128221754,1,0,2,6,2,38,3.6635616461296463,1,2,3,3,8,-13056,9.477079667408038,-1,1,0,4,6,4,15872,9.672374831572242,1,1,2,2,3,2,8,2.1972245773362196,1,2,3,1,8,2,2,1776.0
118,4.77912349311153,1,1,3,6,8,49,3.912023005428146,0,1,4,0,9,-333,5.811140992976701,-1,0,0,2,3,7,-531,6.2766434893416445,-1,0,0,4,1,9,3,1.3862943611198906,0,0,3,3,3,1,2,405.0
73,4.30406509320417,0,1,3,3,3,94,4.553876891600541,1,1,4,3,4,-7885,8.972844314437573,-1,0,2,0,4,5,-15325,9.637306011530349,-1,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,2,3737.0
96,4.574710978503383,1,0,1,5,6,56,4.04305126783455,1,2,1,0,6,-15990,9.679781342959442,-1,1,0,0,5,0,34000,10.434145214930487,1,1,1,0,1,0,10,2.3978952727983707,1,1,0,3,0,2,2,2911.0
50,3.9318256327243257,1,2,0,1,0,116,4.762173934797756,1,2,1,4,6,-5490,8.610865667278873,-1,1,0,0,5,0,-5050,8.527341522468053,-1,1,2,0,4,0,5,1.791759469228055,0,2,0,5,5,1,4,1802.0
42,3.7612001156935624,1,0,2,0,2,55,4.02535169073515,0,1,0,6,5,-7854,8.96890555068972,-1,1,0,1,0,6,-23065,10.046114950785885,-1,0,2,0,0,5,7,2.0794415416798357,0,1,2,0,7,1,4,3772.0
150,5.017279836814924,1,0,0,3,0,126,4.844187086458591,1,0,1,0,6,-2106,7.653020413804189,-1,1,0,4,1,4,-1458,7.285506548522785,-1,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,4,900.0
69,4.248495242049359,0,0,4,6,9,24,3.2188758248682006,1,0,4,3,4,-846,6.741700694652055,-1,1,0,4,1,4,-664,6.499787040655854,-1,1,2,1,1,6,2,1.0986122886681098,1,2,2,2,2,1,3,475.0
46,3.8501476017100584,1,1,1,4,6,122,4.812184355372417,1,2,2,3,2,-1696,7.436617265234227,-1,1,2,4,5,4,6144,8.723394022000136,1,1,0,4,5,4,8,2.1972245773362196,1,2,3,1,8,2,2,260.0
21,3.091042453358316,0,0,1,0,1,27,3.332204510175204,0,0,2,6,7,531,6.2766434893416445,1,0,0,1,6,1,2343,7.759614150696903,1,0,0,3,5,3,3,1.3862943611198906,0,0,3,3,3,3,4,740.0
62,4.143134726391533,1,2,2,6,2,130,4.875197323201151,1,1,0,4,0,-990,6.898714534329988,-1,1,0,0,4,0,2200,7.696667081526462,1,1,1,0,2,0,5,1.791759469228055,0,2,0,5,5,1,3,238.0
102,4.634728988229636,1,0,2,4,2,35,3.58351893845611,0,2,0,0,5,-8368,9.032289682032873,-1,1,2,2,4,2,6656,8.803424211600703,1,1,2,1,6,6,8,2.1972245773362196,1,2,3,1,8,1,2,598.0
31,3.4657359027997265,0,1,1,3,1,39,3.6888794541139363,0,0,4,4,9,6629,8.799360083179907,1,0,2,4,0,9,-21854,9.992185007297415,-1,1,1,1,0,6,7,2.0794415416798357,0,1,2,0,7,1,2,3589.0
45,3.828641396489095,0,0,0,3,5,127,4.852030263919617,0,1,2,1,7,-460,6.133398042996649,-1,1,2,0,2,0,-452,6.115892125483034,-1,1,1,3,3,8,2,1.0986122886681098,1,2,2,2,2,1,2,500.0
52,3.970291913552122,1,1,2,3,2,121,4.804021044733257,0,1,1,2,1,-712,6.569481420414296,-1,1,2,3,2,8,-986,6.894670039433482,-1,1,1,4,1,4,2,1.0986122886681098,1,2,2,2,2,1,3,777.0
61,4.127134385045092,0,1,1,5,1,128,4.859812404361672,1,2,3,2,8,-7285,8.89370997756851,-1,0,2,0,2,5,-13600,9.517898598432753,-1,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,1,2,3552.0
12,2.5649493574615367,1,0,2,5,2,29,3.4011973816621555,0,2,4,1,9,-1336,7.198183577101943,-1,1,2,4,1,4,4532,8.41913925094085,1,1,2,2,3,2,2,1.0986122886681098,1,2,2,2,2,1,3,2300.0
13,2.6390573296152584,0,1,3,6,3,86,4.465908118654584,1,2,1,2,6,792,6.675823221634848,1,1,0,2,1,2,1986,7.594381242551817,1,1,0,1,5,6,3,1.3862943611198906,0,0,3,3,3,1,2,505.0
17,2.8903717578961645,0,2,2,3,7,16,2.833213344056216,1,1,1,2,6,-8060,8.9947928972836,-1,1,1,0,4,0,20150,9.911009193934975,1,1,2,0,4,0,10,2.3978952727983707,1,1,0,3,0,1,2,1961.0
31,3.4657359027997265,0,1,1,3,1,121,4.804021044733257,0,1,1,2,1,-744,6.61338421837956,-1,1,0,1,5,6,4768,8.469891918298224,1,1,1,3,1,8,8,2.1972245773362196,1,2,3,1,8,1,3,403.0
137,4.927253685157205,0,2,2,4,7,123,4.820281565605037,0,0,3,4,3,-2348,7.761744984658913,-1,1,1,2,4,2,-7508,8.923857580099885,-1,1,1,2,3,2,2,1.0986122886681098,1,2,2,2,2,1,2,4100.0
36,3.6109179126442243,1,0,1,1,6,79,4.382026634673881,0,1,4,2,9,1482,7.301822342137932,1,1,0,2,5,2,-5481,8.60922527686273,-1,0,0,4,0,9,3,1.3862943611198906,0,0,3,3,3,1,3,2150.0
30,3.4339872044851463,1,0,0,2,0,147,4.997212273764115,0,0,2,0,7,945,6.852242569051878,1,0,0,0,0,5,5935,8.688790784847216,1,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,1,3,565.0
131,4.882801922586371,0,2,1,5,1,99,4.605170185988092,0,0,4,1,9,-4784,8.473241303887054,-1,1,1,1,4,6,-3456,8.148156439921625,-1,1,0,4,2,4,4,1.6094379124341003,1,1,4,4,4,1,2,1428.0
24,3.2188758248682006,1,0,4,3,4,122,4.812184355372417,1,2,2,3,2,-2820,7.944846711001996,-1,1,0,0,1,0,10304,9.240384493324559,1,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,2,3,2175.0
137,4.927253685157205,0,2,2,4,7,36,3.6109179126442243,1,0,1,1,6,-12080,9.399389249519563,-1,1,1,0,2,0,1440,7.273092595999522,1,1,0,0,5,0,10,2.3978952727983707,1,1,0,3,0,1,3,270.0
150,5.017279836814924,1,0,0,3,0,11,2.4849066497880004,0,2,1,4,1,-18600,9.83097062169695,-1,1,0,0,6,0,17100,9.746892220313054,1,1,0,0,6,0,10,2.3978952727983707,1,1,0,3,0,1,5,1640.0
29,3.4011973816621555,0,2,4,1,9,70,4.2626798770413155,1,1,0,0,0,-1504,7.316548177182976,-1,1,2,1,1,6,28,3.367295829986474,1,1,1,3,0,8,4,1.6094379124341003,1,1,4,4,4,1,2,377.0
51,3.9512437185814275,0,0,1,2,1,62,4.143134726391533,1,2,2,6,2,-5712,8.650499558724462,-1,1,0,3,0,8,-6912,8.841158975945264,-1,1,0,3,4,8,8,2.1972245773362196,1,2,3,1,8,1,3,1394.0
57,4.060443010546419,0,0,2,1,7,141,4.955827057601261,0,0,1,1,1,3744,8.22817689595132,1,1,0,4,6,4,15836,9.670104253491726,1,1,2,1,2,6,4,1.6094379124341003,1,1,4,4,4,1,2,3589.0
50,3.9318256327243257,1,2,0,1,0,18,2.9444389791664403,1,0,3,4,8,-8330,9.027738775974909,-1,1,1,0,0,0,-10143,9.224637676677007,-1,0,0,2,0,7,7,2.0794415416798357,0,1,2,0,7,1,2,1785.0
79,4.382026634673881,0,1,4,2,9,26,3.295836866004329,1,2,1,5,6,-3648,8.202208436436448,-1,1,0,2,6,2,4304,8.367532416861831,1,1,2,4,6,4,8,2.1972245773362196,1,2,3,1,8,1,2,374.0
145,4.983606621708336,0,1,0,5,5,54,4.007333185232471,1,0,4,5,4,-11840,9.379323364330956,-1,1,1,0,4,0,-3720,8.221747728346623,-1,1,0,0,4,0,10,2.3978952727983707,1,1,0,3,0,1,2,950.0
43,3.784189633918261,0,1,3,1,3,31,3.4657359027997265,0,1,1,3,1,-1127,7.028201432058005,-1,0,1,3,0,3,-1841,7.518607216815252,-1,0,1,4,0,9,7,2.0794415416798357,0,1,2,0,7,1,2,500.0
19,2.995732273553991,0,1,4,5,9,90,4.51085950651685,1,0,0,6,0,-10,2.3978952727983707,-1,1,2,0,4,0,2870,7.962415680121064,1,1,2,0,0,0,5,1.791759469228055,0,2,0,5,5,1,5,155.0
75,4.330733340286331,0,0,0,5,5,71,4.276666119016055,0,2,1,1,1,-1290,7.1631723908466425,-1,1,0,0,5,0,2555,7.846198815497425,1,0,2,0,0,5,5,1.791759469228055,0,2,0,5,5,1,3,195.0
99,4.605170185988092,0,0,4,1,9,22,3.1354942159291497,1,1,2,1,2,2076,7.638679823876112,1,1,0,1,4,6,7298,8.895492631451633,1,1,2,3,4,8,2,1.0986122886681098,1,2,2,2,2,1,3,3811.0
71,4.276666119016055,0,2,1,1,1,71,4.276666119016055,0,2,1,1,1,-3528,8.16876982367527,-1,1,0,2,0,2,-1764,7.475905969367397,-1,1,0,1,0,6,6,1.9459101490553132,1,0,1,6,6,1,4,738.0
26,3.295836866004329,1,2,1,5,6,91,4.5217885770490405,0,1,1,0,1,6622,8.798303718484979,1,1,1,2,0,2,-18571,9.829410349139811,-1,0,2,4,0,9,7,2.0794415416798357,0,1,2,0,7,1,3,3478.0
91,4.5217885770490405,0,1,1,0,1,112,4.727387818712341,1,1,2,0,2,-4669,8.448914350662942,-1,0,2,1,0,1,5208,8.558143177745192,1,1,0,3,0,8,7,2.0794415416798357,0,1,2,0,7,7,4,50.0
139,4.941642422609304,0,1,4,6,9,25,3.258096538021482,0,1,0,4,5,-3276,8.094683648698815,-1,1,0,4,0,4,-7259,8.890135107818843,-1,0,1,1,0,1,7,2.0794415416798357,0,1,2,0,7,1,2,1313.0
82,4.418840607796598,1,1,2,5,2,29,3.4011973816621555,0,2,4,1,9,-13450,9.506808731708581,-1,1,2,0,4,0,-9700,9.179984251961283,-1,1,2,0,2,0,10,2.3978952727983707,1,1,0,3,0,1,2,1365.0
29,3.4011973816621555,0,2,4,1,9,150,5.017279836814924,1,0,0,3,0,-8855,9.088850474388472,-1,0,1,0,0,5,-25690,10.15389601499835,-1,1,2,0,0,0,7,2.0794415416798357,0,1,2,0,7,1,2,4838.0
13,2.6390573296152584,0,1,3,6,3,30,3.4339872044851463,1,0,0,2,0,1274,7.150701457592526,1,1,2,4,0,4,-1078,6.983789965258135,-1,1,2,2,0,2,7,2.0794415416798357,0,1,2,0,7,1,3,455.0
